total_timesteps,fps,explained_variance,nupdates,policy_entropy,value_loss,avgReward
3824000,936,0.604907900094986,47800,1.068081259727478,0.031736698001623154,0.8424350101500749
3832000,936,0.9072704687714577,47900,0.9896130561828613,0.005694942083209753,1.6076802551746368
3840000,937,0.3706892132759094,48000,1.0709595680236816,0.032780226320028305,1.387875084578991
3848000,937,0.41045480966567993,48100,1.0286798477172852,0.047592539340257645,1.2367875918745994
3856000,937,0.8467756509780884,48200,1.1674082279205322,0.016231795772910118,1.5406429395079613
3864000,937,0.7479462921619415,48300,0.9584017992019653,0.023317020386457443,1.3777609787881375
3872000,937,0.6478083431720734,48400,1.025221586227417,0.05358270928263664,1.3851847916841507
3880000,937,0.8588413298130035,48500,1.0428768396377563,0.01397866290062666,2.069256517291069
3888000,937,0.5181596875190735,48600,0.9525078535079956,0.042093049734830856,1.0334893120452762
3896000,938,0.71210578083992,48700,1.0642434358596802,0.05401403456926346,1.9266944378614426
3904000,938,0.47728562355041504,48800,1.0124651193618774,0.08135519921779633,1.79893809966743
3912000,938,0.7646314650774002,48900,1.0871385335922241,0.019908718764781952,1.5833043798804283
3920000,938,0.6974097490310669,49000,0.9160598516464233,0.05050935596227646,1.4121363043785096
3928000,938,0.7185313999652863,49100,1.0102381706237793,0.03860856220126152,1.6635831829160452
3936000,938,0.9060372039675713,49200,1.1054726839065552,0.015681913122534752,1.602802512049675
3944000,938,0.8241207152605057,49300,1.0756609439849854,0.014667628332972527,1.668987214565277
3952000,939,0.7863596528768539,49400,1.0364500284194946,0.01926291175186634,1.8129826441407204
3960000,939,0.8841369971632957,49500,1.1035913228988647,0.026293035596609116,1.6711280092597007
3968000,939,0.8824535682797432,49600,1.1137139797210693,0.013450240716338158,1.570881712436676
3976000,939,0.8035631775856018,49700,1.0720223188400269,0.01954622194170952,1.5532097466289998
3984000,939,0.8051121681928635,49800,1.0457358360290527,0.013642986305058002,1.8219299629330634
3992000,939,0.7432522475719452,49900,1.1037105321884155,0.0512850396335125,1.6077180434018374
4000000,939,0.8113008290529251,50000,1.0629980564117432,0.027200186625123024,1.8355896770954132
4008000,940,0.7815716564655304,50100,0.9824649095535278,0.030471738427877426,1.706962503120303
4016000,940,0.7918124794960022,50200,1.0525031089782715,0.011873614974319935,1.6650949522852898
4024000,940,0.8514394611120224,50300,1.0632244348526,0.024373741820454597,1.535911860316992
4032000,940,0.5921165943145752,50400,1.0176223516464233,0.026606762781739235,1.7569048956036568
4040000,940,0.8302937746047974,50500,1.075683832168579,0.01407806295901537,1.650373563170433
4048000,940,0.569391280412674,50600,1.007036805152893,0.07821211963891983,1.9565579771995545
4056000,940,0.8212060630321503,50700,0.9717336893081665,0.013236336410045624,1.52673514559865
4064000,941,0.5762040317058563,50800,1.0181001424789429,0.02471213974058628,2.159196062386036
4072000,941,0.7453716397285461,50900,1.0508363246917725,0.03283708542585373,1.8748689368367195
4080000,941,0.767427459359169,51000,1.017102837562561,0.04250723123550415,1.7585499808192253
4088000,941,0.5721507966518402,51100,1.0842525959014893,0.06451721489429474,1.7164793595671655
4096000,941,0.5217572450637817,51200,0.9956048130989075,0.03783755004405975,1.7939001329243183
4104000,941,0.5122944712638855,51300,0.9816370010375977,0.11519553512334824,1.5174407880753278
4112000,941,0.6253772675991058,51400,1.0067023038864136,0.03142270818352699,1.6381249696016311
4120000,942,0.745186448097229,51500,1.0020899772644043,0.012098554521799088,1.69495220631361
4128000,942,0.739461749792099,51600,1.1330463886260986,0.02469893917441368,2.5600791916251184
4136000,942,0.6860075891017914,51700,1.0521044731140137,0.0271696038544178,1.8037865974009037
4144000,942,0.8056607991456985,51800,0.9579737782478333,0.004848652519285679,1.5069122895598412
4152000,942,0.8570274710655212,51900,1.0171178579330444,0.04112880676984787,1.6126304104924203
4160000,942,0.4333154559135437,52000,1.1040185689926147,0.02953774854540825,1.7425281569361686
4168000,942,0.8146377056837082,52100,1.121860384941101,0.0147164361551404,1.640146118402481
4176000,943,0.17017817497253418,52200,1.00967276096344,0.09060104936361313,1.7220560412853956
4184000,943,0.6272057890892029,52300,0.8927004933357239,0.07313920557498932,2.001844534277916
4192000,943,0.6809388697147369,52400,1.0582292079925537,0.028926795348525047,1.7236221715807916
4200000,943,0.6871532797813416,52500,1.0880520343780518,0.026289183646440506,1.7382971048355103
4208000,943,0.6872915923595428,52600,1.0948759317398071,0.021209562197327614,1.7506125718355179
4216000,943,0.8861817717552185,52700,1.02823805809021,0.008879756554961205,2.130510188639164
4224000,943,0.727417916059494,52800,0.9962303042411804,0.012169466353952885,2.116792011260986
4232000,944,0.8144316971302032,52900,0.9717591404914856,0.03403114527463913,1.834455729648471
4240000,944,0.5212488174438477,53000,1.0108582973480225,0.10201432555913925,1.6209512148052454
4248000,944,0.41780906915664673,53100,0.9862060546875,0.11721088737249374,1.7338960573077202
4256000,944,0.8471449315547943,53200,1.1274398565292358,0.024346884340047836,1.595705685019493
4264000,944,0.757203221321106,53300,0.9161611795425415,0.018836060538887978,1.7837974816560744
4272000,944,0.49381399154663086,53400,1.0397400856018066,0.03641700744628906,1.5813402190804482
4280000,944,0.8005237430334091,53500,1.03368079662323,0.015552917495369911,1.6936516270041466
4288000,944,0.7568080574274063,53600,0.925361156463623,0.028366049751639366,1.925077672302723
4296000,945,0.8485251814126968,53700,1.0702427625656128,0.015182966366410255,1.841188259422779
4304000,945,0.5390413403511047,53800,1.0402953624725342,0.056986939162015915,1.8925365298986434
4312000,945,0.7881787866353989,53900,1.0159492492675781,0.01969047635793686,1.861614665389061
4320000,945,0.8907570317387581,54000,1.0756282806396484,0.013946381397545338,2.194218721985817
4328000,945,0.6881035268306732,54100,0.9869004487991333,0.028060773387551308,1.8907467290759086
4336000,945,0.8023572564125061,54200,1.0326772928237915,0.011966352351009846,1.6752834558486938
4344000,945,0.4402540922164917,54300,0.968443751335144,0.029109615832567215,1.7682745471596717
4352000,946,0.503360778093338,54400,1.0352652072906494,0.05560772866010666,1.8238863233476876
4360000,946,0.4086077809333801,54500,1.009826898574829,0.02472635917365551,1.7166716411709786
4368000,946,0.7528762966394424,54600,0.8673882484436035,0.02026275359094143,1.7816451326012612
4376000,946,0.5240719020366669,54700,0.8878253698348999,0.05651745945215225,1.9298739321529865
4384000,946,0.8056660890579224,54800,1.0120623111724854,0.011353195644915104,2.120270220935345
4392000,946,0.6112339496612549,54900,0.9517802000045776,0.059591878205537796,1.9836622029542923
4400000,946,0.6629773378372192,55000,0.9953234791755676,0.04680642858147621,1.7918435260653496
4408000,946,0.7541491985321045,55100,1.0172566175460815,0.016088947653770447,1.7591543078422547
4416000,947,0.5973281562328339,55200,0.913722813129425,0.1537831872701645,1.967993113398552
4424000,947,0.36779510974884033,55300,0.9068108797073364,0.057092368602752686,2.065725516527891
4432000,947,0.4859098792076111,55400,0.8089536428451538,0.050148677080869675,2.0142940528690816
4440000,947,0.40360885858535767,55500,0.9424546360969543,0.06435628235340118,1.890792902559042
4448000,947,0.7761716395616531,55600,0.9045236706733704,0.0500415563583374,1.7800308221951127
4456000,947,0.8103901594877243,55700,1.0216114521026611,0.01184857077896595,1.8291505709290505
4464000,947,0.5389279127120972,55800,1.0499322414398193,0.06738384068012238,1.9590717494487762
4472000,948,0.7536398619413376,55900,0.958645224571228,0.03128858655691147,2.4517743051052094
