total_timesteps,explained_variance,value_loss,policy_entropy,fps,nupdates
82264000,0.9599196277558804,0.14871755242347717,1.138389229774475,2020,1028300
82272000,0.9596297927200794,0.10249298810958862,1.1057252883911133,2020,1028400
82280000,0.9938096520490944,0.0140937939286232,1.1980183124542236,2020,1028500
82288000,0.9923197999596596,0.04098425433039665,1.1979576349258423,2020,1028600
82296000,0.9926703609526157,0.016439082100987434,1.164712905883789,2020,1028700
82304000,0.9937705700285733,0.023049017414450645,1.177656888961792,2020,1028800
82312000,0.9820314031094313,0.0429132916033268,0.979710578918457,2020,1028900
82320000,0.9907012451440096,0.03897973150014877,1.236395239830017,2020,1029000
82328000,0.9825534168630838,0.018256764858961105,1.313880205154419,2020,1029100
82336000,0.995435391087085,0.021555019542574883,1.188982605934143,2020,1029200
82344000,0.8230729252099991,0.37012675404548645,1.0894200801849365,2020,1029300
82352000,0.96323661506176,0.1589781790971756,1.1983684301376343,2020,1029400
82360000,0.9629894234240055,0.20390097796916962,1.0332305431365967,2020,1029500
82368000,0.9898581365123391,0.04205387830734253,1.1540758609771729,2020,1029600
82376000,0.9930905681103468,0.03592623025178909,1.0273749828338623,2020,1029700
82384000,0.9799312800168991,0.03910115733742714,1.1604505777359009,2020,1029800
82392000,0.990452978760004,0.011471944861114025,1.1857318878173828,2020,1029900
82400000,0.9925493719056249,0.011758369393646717,1.2108449935913086,2020,1030000
82408000,0.9822304267436266,0.06833398342132568,1.2102539539337158,2020,1030100
82416000,0.9412156604230404,0.11547812074422836,1.144916296005249,2020,1030200
82424000,0.7519991993904114,1.1453230381011963,1.131160020828247,2020,1030300
82432000,0.9196399375796318,0.050282347947359085,1.0352126359939575,2020,1030400
82440000,0.9926638728938997,0.028409916907548904,1.0670264959335327,2020,1030500
82448000,0.9926196346059442,0.013860160484910011,0.9861381649971008,2020,1030600
82456000,0.9653225615620613,0.12239451706409454,1.2577807903289795,2020,1030700
82464000,0.9781934563070536,0.06274834275245667,1.1728061437606812,2020,1030800
82472000,0.9940295303240418,0.014273898676037788,1.207550287246704,2020,1030900
82480000,0.9865158628672361,0.033234041184186935,1.1955270767211914,2020,1031000
82488000,0.9954218743368983,0.008993754163384438,1.153853416442871,2020,1031100
82496000,0.9939165031537414,0.051741521805524826,1.1830774545669556,2020,1031200
82504000,0.6994582116603851,0.46841925382614136,1.0780341625213623,2020,1031300
82512000,0.9852548418566585,0.022910164669156075,1.164725422859192,2020,1031400
82520000,0.9897629385814071,0.028831085190176964,1.0218217372894287,2020,1031500
82528000,0.9167317822575569,0.14611771702766418,1.0967185497283936,2020,1031600
82536000,0.9747526794672012,0.07864245027303696,1.205939531326294,2020,1031700
82544000,0.9977251961827278,0.010313509032130241,1.2107874155044556,2020,1031800
82552000,0.9868551874533296,0.03385699912905693,1.0597336292266846,2020,1031900
82560000,0.9968677733559161,0.007550718728452921,1.0247504711151123,2020,1032000
82568000,0.9698143750429153,0.05411967635154724,1.1334365606307983,2020,1032100
82576000,0.9890069784596562,0.02505570650100708,1.1817902326583862,2020,1032200
82584000,0.9819501247256994,0.02931525744497776,1.0418274402618408,2020,1032300
82592000,0.9911151425912976,0.02797473408281803,1.0870225429534912,2021,1032400
82600000,0.968593142926693,0.03965585678815842,1.1551069021224976,2021,1032500
82608000,0.9891919810324907,0.03344690054655075,1.2087322473526,2021,1032600
82616000,0.9927004827186465,0.018656443804502487,1.0688893795013428,2021,1032700
82624000,0.9976390488445759,0.01104201190173626,1.1337255239486694,2021,1032800
82632000,0.9588302783668041,0.0516597144305706,1.2248204946517944,2021,1032900
82640000,0.9944987157359719,0.024742010980844498,1.2250703573226929,2021,1033000
82648000,0.8144924640655518,0.3349243104457855,1.0971812009811401,2021,1033100
82656000,0.9025263711810112,0.3253684639930725,1.1275229454040527,2021,1033200
82664000,0.9764328803867102,0.16794756054878235,0.9578806757926941,2021,1033300
82672000,0.9899981850758195,0.01920231804251671,1.0766429901123047,2021,1033400
82680000,0.9972025395836681,0.013734320178627968,0.9876241683959961,2021,1033500
82688000,0.9932447979226708,0.014819766394793987,1.043287754058838,2021,1033600
82696000,0.997434409102425,0.013305175118148327,1.1099152565002441,2021,1033700
82704000,0.99570502480492,0.014218407683074474,1.1042773723602295,2021,1033800
82712000,0.9903811011463404,0.0551363043487072,1.184614896774292,2021,1033900
82720000,0.985355619341135,0.013512546196579933,1.185776710510254,2021,1034000
82728000,0.995092392899096,0.03223007544875145,1.232783317565918,2021,1034100
82736000,0.9903531083837152,0.014266103506088257,1.108642339706421,2021,1034200
82744000,0.9781667832285166,0.053944360464811325,1.1701712608337402,2021,1034300
82752000,0.9804309755563736,0.026328688487410545,1.0137099027633667,2021,1034400
82760000,0.9852828765287995,0.0619235634803772,1.0869972705841064,2021,1034500
82768000,0.9945761431008577,0.018581558018922806,1.2329611778259277,2021,1034600
82776000,0.9914329908788204,0.013035374693572521,1.1865129470825195,2021,1034700
82784000,0.9929134878329933,0.020977195352315903,1.1141362190246582,2021,1034800
82792000,0.6913401186466217,0.616125226020813,1.1156963109970093,2021,1034900
82800000,0.9830367751419544,0.04303828626871109,1.038428783416748,2021,1035000
82808000,0.9862760026007891,0.02842635288834572,1.0426769256591797,2021,1035100
82816000,0.9905037004500628,0.029681358486413956,1.065889835357666,2021,1035200
82824000,0.9912902461364865,0.02352660521864891,1.0895657539367676,2021,1035300
82832000,0.9952399008907378,0.047621749341487885,1.0888952016830444,2021,1035400
82840000,0.9960818546824157,0.016689762473106384,1.002599835395813,2021,1035500
82848000,0.9591962620615959,0.09383834153413773,1.205545425415039,2021,1035600
82856000,0.9929019301198423,0.019223427399992943,1.1373097896575928,2021,1035700
82864000,0.9659881740808487,0.06759874522686005,1.1477665901184082,2021,1035800
82872000,0.9973105618264526,0.014027195051312447,1.0732309818267822,2021,1035900
82880000,0.9866930823773146,0.02946777269244194,1.0373289585113525,2021,1036000
82888000,0.9745943155139685,0.061368267983198166,1.1080747842788696,2021,1036100
82896000,0.9887052802368999,0.025537926703691483,1.1385246515274048,2021,1036200
82904000,0.9887956595048308,0.051686495542526245,1.099078893661499,2021,1036300
82912000,0.9898440260440111,0.019359726458787918,1.1268980503082275,2021,1036400
82920000,0.9784041456878185,0.014162316918373108,1.1184980869293213,2021,1036500
82928000,0.9901449643075466,0.02600805088877678,1.1277406215667725,2021,1036600
82936000,0.9859235621988773,0.0735759362578392,1.064898133277893,2021,1036700
82944000,0.9883803697302938,0.052565526217222214,1.1388860940933228,2021,1036800
82952000,0.9927053996361792,0.009514513425529003,1.132028341293335,2021,1036900
82960000,0.9939951575361192,0.03494816645979881,1.1214330196380615,2021,1037000
82968000,0.9634056091308594,0.1228535920381546,1.108130693435669,2021,1037100
82976000,0.9873293293640018,0.059266138821840286,1.0326011180877686,2021,1037200
82984000,0.9847167236730456,0.048805490136146545,1.2057322263717651,2021,1037300
82992000,0.984033290296793,0.032931167632341385,1.1874263286590576,2021,1037400
83000000,0.9557000547647476,0.18033775687217712,1.1403591632843018,2021,1037500
83008000,0.9939766433089972,0.01778268814086914,1.0938864946365356,2021,1037600
83016000,0.9724064338952303,0.11233039945363998,1.1204442977905273,2021,1037700
83024000,0.9842556975781918,0.041834164410829544,1.0479753017425537,2021,1037800
83032000,0.9745786543935537,0.07097647339105606,1.0729625225067139,2021,1037900
83040000,0.9948015543632209,0.0231508556753397,1.0170729160308838,2021,1038000
83048000,0.9825954921543598,0.020540406927466393,1.239103078842163,2021,1038100
