policy_loss,learning rate,value_loss,fps,total_timesteps,nupdates,policy_entropy,epsilonValue,explained_variance,avg reward
-0.018222281709313393,0.001,0.017796238884329796,2105,3592000,44900,1.7141014337539673,0.0007272674363255627,0.8508298099040985,-0.33877047325950116
-0.09729176759719849,0.001,0.01026894710958004,2105,3600000,45000,1.6803524494171143,0.0007272674363255627,0.8646125942468643,-0.5243919818662107
-0.08605565875768661,0.001,0.009942476637661457,2105,3608000,45100,1.729882001876831,0.0007272674363255627,0.9367228299379349,-0.35694122305139897
-0.002468675374984741,0.001,0.0076229870319366455,2105,3616000,45200,1.63040030002594,0.0007272674363255627,0.9219695329666138,-0.4525861123984214
0.06457193195819855,0.001,0.012204134836792946,2105,3624000,45300,1.6440792083740234,0.0007272674363255627,0.5705254673957825,-0.22309839352965355
-0.020798031240701675,0.001,0.009545883163809776,2105,3632000,45400,1.6605052947998047,0.0007272674363255627,0.9045271724462509,-0.3359616383910179
0.030415933579206467,0.001,0.022603239864110947,2105,3640000,45500,1.6267608404159546,0.0007272674363255627,0.8177369982004166,-0.5193725521676242
-0.08621882647275925,0.001,0.0069321924820542336,2105,3648000,45600,1.548967719078064,0.0007272674363255627,0.9173845052719116,-0.4641409585252404
0.05727411434054375,0.001,0.011709771119058132,2106,3656000,45700,1.6348543167114258,0.0007272674363255627,0.8382384479045868,-0.261968642170541
-0.02487770840525627,0.001,0.011752353981137276,2105,3664000,45800,1.5851130485534668,0.0007272674363255627,0.9138436168432236,-0.0900642876746133
-0.06505340337753296,0.001,0.008840294554829597,2106,3672000,45900,1.656855821609497,0.0007272674363255627,0.8325279355049133,-0.32727977915201334
-0.07102598994970322,0.001,0.011779524385929108,2106,3680000,46000,1.4985079765319824,0.0007272674363255627,0.8943047448992729,-0.3805107522755861
-0.012618419714272022,0.001,0.006251557730138302,2106,3688000,46100,1.6329647302627563,0.0007272674363255627,0.937084324657917,-0.4826008856296539
0.062191493809223175,0.001,0.019516583532094955,2106,3696000,46200,1.7080633640289307,0.0007272674363255627,0.8353976309299469,-0.27960918634198606
-0.016637708991765976,0.001,0.008211462758481503,2106,3704000,46300,1.5756665468215942,0.0007272674363255627,0.9286039099097252,-0.2807250389829278
-0.025330698117613792,0.001,0.005709042772650719,2106,3712000,46400,1.6886975765228271,0.0007272674363255627,0.805310383439064,-0.44184351805597544
-0.06505461037158966,0.001,0.01500032376497984,2106,3720000,46500,1.5564090013504028,0.0007272674363255627,0.8799342215061188,-0.20790821029804646
-0.11120790243148804,0.001,0.016674086451530457,2107,3728000,46600,1.6372581720352173,0.0007272674363255627,0.7261635065078735,-0.43823444661684335
0.06495781242847443,0.001,0.01861911453306675,2107,3736000,46700,1.7110793590545654,0.0007272674363255627,0.7599650472402573,-0.2677206159569323
0.009013086557388306,0.001,0.009804780595004559,2107,3744000,46800,1.5440571308135986,0.0007272674363255627,0.8773116767406464,-0.43431707662530245
-0.177040234208107,0.001,0.031242454424500465,2107,3752000,46900,1.508557677268982,0.0007272674363255627,0.8004434704780579,-0.4909914840012789
0.011641318909823895,0.001,0.014787964522838593,2107,3760000,47000,1.6381925344467163,0.0007272674363255627,0.8772398978471756,-0.26595931090414526
-0.19182445108890533,0.001,0.04481935501098633,2107,3768000,47100,1.5483572483062744,0.0007272674363255627,0.653842568397522,-0.4107371755177155
-0.051262129098176956,0.001,0.00958311278373003,2107,3776000,47200,1.6208587884902954,0.0007272674363255627,0.8780890554189682,-0.3722492815926671
-0.022403713315725327,0.001,0.018328996375203133,2107,3784000,47300,1.5909483432769775,0.0007272674363255627,0.640505313873291,-0.18449564951588399
0.016226913779973984,0.001,0.01637020707130432,2107,3792000,47400,1.6075108051300049,0.0007272674363255627,0.7742608934640884,-0.32792218453250827
-0.07441972196102142,0.001,0.011583596467971802,2107,3800000,47500,1.6408042907714844,0.0007272674363255627,0.9238789528608322,-0.2172865623841062
0.1556624174118042,0.001,0.02355056256055832,2107,3808000,47600,1.5785443782806396,0.0007272674363255627,0.8798606246709824,-0.10046615446917713
0.08446452766656876,0.001,0.022669635713100433,2108,3816000,47700,1.4399688243865967,0.0007272674363255627,0.8464488387107849,-0.2551678363699466
0.011842363514006138,0.001,0.011236168444156647,2108,3824000,47800,1.5404460430145264,0.0007272674363255627,0.8710027039051056,-0.6354406691156328
0.08794005215167999,0.001,0.007798922248184681,2108,3832000,47900,1.6734178066253662,0.0007272674363255627,0.9044744893908501,-0.533090789988637
-0.03184608370065689,0.001,0.021268527954816818,2108,3840000,48000,1.5291523933410645,0.0007272674363255627,0.8428598493337631,-0.2735289596952498
-0.05491520091891289,0.001,0.00843090284615755,2108,3848000,48100,1.667400598526001,0.0007272674363255627,0.8933253437280655,-0.23120548173901626
0.06144094467163086,0.001,0.012974877841770649,2108,3856000,48200,1.5149366855621338,0.0007272674363255627,0.9241679161787033,-0.4174706685822457
0.042000655084848404,0.001,0.019109001383185387,2108,3864000,48300,1.4340569972991943,0.0007272674363255627,0.9009753689169884,0.027450135583057998
0.07174071669578552,0.001,0.011338007636368275,2108,3872000,48400,1.6085411310195923,0.0007272674363255627,0.7301304638385773,-0.2904916424304247
0.036610402166843414,0.001,0.01871241070330143,2108,3880000,48500,1.620591163635254,0.0007272674363255627,0.7244036495685577,0.07534897308796644
0.006695552263408899,0.001,0.015284055843949318,2108,3888000,48600,1.7180070877075195,0.0007272674363255627,0.7717243582010269,-0.11159582126419991
0.033708520233631134,0.001,0.016716962680220604,2108,3896000,48700,1.733965516090393,0.0007272674363255627,0.6055661141872406,-0.2956692557781935
-0.042012427002191544,0.001,0.0075683072209358215,2108,3904000,48800,1.618024468421936,0.0007272674363255627,0.7826074808835983,-0.6550499964505434
-0.05151502415537834,0.001,0.005403253715485334,2108,3912000,48900,1.6884483098983765,0.0007272674363255627,0.9294352233409882,-0.20510244271717964
0.08955192565917969,0.001,0.01641644351184368,2109,3920000,49000,1.5384109020233154,0.0007272674363255627,0.7404639422893524,-0.29255157243460417
-0.03758149594068527,0.001,0.017400503158569336,2109,3928000,49100,1.6537981033325195,0.0007272674363255627,0.8237781822681427,-0.30474494956433773
-0.016283756121993065,0.001,0.020152350887656212,2109,3936000,49200,1.5779848098754883,0.0007272674363255627,0.825602188706398,-0.048392260493710634
-0.0557778999209404,0.001,0.022285152226686478,2109,3944000,49300,1.5554732084274292,0.0007272674363255627,0.8720248937606812,-0.2643395315972157
0.07446186244487762,0.001,0.014670141041278839,2109,3952000,49400,1.52137291431427,0.0007272674363255627,0.863054171204567,-0.11134627675346565
0.10685326904058456,0.001,0.024093976244330406,2109,3960000,49500,1.6050153970718384,0.0007272674363255627,0.6457675397396088,-0.18525957819074393
-0.10387013852596283,0.001,0.026033252477645874,2110,3968000,49600,1.6958293914794922,0.0007272674363255627,0.8041071742773056,-0.15662429258227348
0.012537372298538685,0.001,0.013567537069320679,2110,3976000,49700,1.5728881359100342,0.0007272674363255627,0.9049822688102722,-0.09741584557341412
0.03468552976846695,0.001,0.010698357596993446,2110,3984000,49800,1.6049692630767822,0.0007272674363255627,0.9188631474971771,-0.12637991029769183
0.06601451337337494,0.001,0.020932655781507492,2110,3992000,49900,1.6257379055023193,0.0007272674363255627,0.8179343640804291,-0.0654237741335237
-0.0175075214356184,0.001,0.012216741219162941,2110,4000000,50000,1.5702894926071167,0.0007272674363255627,0.8676046431064606,-0.23566367336316035
-0.022980570793151855,0.001,0.01841670647263527,2110,4008000,50100,1.7137197256088257,0.0007272674363255627,0.5409546792507172,-0.3673852796666324
-0.03234749287366867,0.001,0.014790932647883892,2110,4016000,50200,1.7129271030426025,0.0007272674363255627,0.8805557191371918,-0.08783954983518924
0.08546656370162964,0.001,0.017094511538743973,2110,4024000,50300,1.5995906591415405,0.0007272674363255627,0.8782514482736588,-0.3236654427368194
-0.06797812879085541,0.001,0.04089002311229706,2111,4032000,50400,1.4689176082611084,0.0007272674363255627,0.8053186535835266,-0.37683892995119095
-0.008253078907728195,0.001,0.018843185156583786,2111,4040000,50500,1.6102739572525024,0.0007272674363255627,0.6875813901424408,-0.3285335868597031
-0.01322194654494524,0.001,0.013734690845012665,2111,4048000,50600,1.6517242193222046,0.0007272674363255627,0.80218106508255,-0.1394365044310689
-0.014070537872612476,0.001,0.006345783360302448,2111,4056000,50700,1.480430006980896,0.0007272674363255627,0.9461414143443108,-0.13141373032703996
0.009066809900105,0.001,0.008744819089770317,2111,4064000,50800,1.471722960472107,0.0007272674363255627,0.8275419026613235,0.08897544657811522
0.02202937938272953,0.001,0.006531076040118933,2111,4072000,50900,1.5708616971969604,0.0007272674363255627,0.9278056547045708,-0.12946434715704527
-0.027282804250717163,0.001,0.00453200051560998,2112,4080000,51000,1.382351279258728,0.0007272674363255627,0.9718994479626417,-0.16883460253011434
0.08815877139568329,0.001,0.014719811268150806,2112,4088000,51100,1.6068611145019531,0.0007272674363255627,0.8588912636041641,-0.20039473548531533
-0.06074931472539902,0.001,0.008723556995391846,2112,4096000,51200,1.3899093866348267,0.0007272674363255627,0.9425426013767719,-0.3413358936086297
-0.03713972121477127,0.001,0.004870673641562462,2112,4104000,51300,1.5663982629776,0.0007272674363255627,0.9333998188376427,-0.08549349289387465
-0.026232320815324783,0.001,0.01710992120206356,2112,4112000,51400,1.5525398254394531,0.0007272674363255627,0.7561616450548172,-0.28904197650263086
0.017729472368955612,0.001,0.05152864381670952,2112,4120000,51500,1.633223295211792,0.0007272674363255627,0.6104443967342377,-0.1655147929734085
-0.07897146046161652,0.001,0.009144107811152935,2112,4128000,51600,1.570212721824646,0.0007272674363255627,0.8689085990190506,-0.21701764714089222
0.031490422785282135,0.001,0.01662358269095421,2112,4136000,51700,1.4451820850372314,0.0007272674363255627,0.8400049954652786,-0.22843835420208053
-0.09892641007900238,0.001,0.008003350347280502,2112,4144000,51800,1.6300386190414429,0.0007272674363255627,0.9026522785425186,-0.21260479893535375
-0.0376320518553257,0.001,0.0040581426583230495,2112,4152000,51900,1.6895231008529663,0.0007272674363255627,0.908466063439846,-0.12721476711303695
-0.03639703989028931,0.001,0.014390097931027412,2113,4160000,52000,1.654996633529663,0.0007272674363255627,0.819001093506813,-0.21606437158770858
-0.02366715297102928,0.001,0.008477535098791122,2113,4168000,52100,1.6143213510513306,0.0007272674363255627,0.908833771944046,-0.0032941739198577126
0.01122934278100729,0.001,0.009291575290262699,2113,4176000,52200,1.552602767944336,0.0007272674363255627,0.8867202997207642,0.08126586076105013
-0.017240148037672043,0.001,0.008159270510077477,2113,4184000,52300,1.5702356100082397,0.0007272674363255627,0.947059839963913,0.03602363669779152
-0.10290904343128204,0.001,0.04032778739929199,2113,4192000,52400,1.44822096824646,0.0007272674363255627,0.8060819804668427,-0.09853448912908788
0.12375841289758682,0.001,0.021664481610059738,2113,4200000,52500,1.5210254192352295,0.0007272674363255627,0.7412868738174438,-0.29192039454355834
-0.07274065911769867,0.001,0.017552506178617477,2113,4208000,52600,1.5455114841461182,0.0007272674363255627,0.8923313468694687,0.16873088274151088
0.013741510920226574,0.001,0.011032486334443092,2114,4216000,52700,1.4512540102005005,0.0007272674363255627,0.8493188917636871,-0.16545381317846478
-0.031220218166708946,0.001,0.012253041379153728,2114,4224000,52800,1.543151617050171,0.0007272674363255627,0.9031934589147568,0.13368382649496197
-0.03103349171578884,0.001,0.010493844747543335,2114,4232000,52900,1.649073839187622,0.0007272674363255627,0.8298351913690567,-0.09154974931589095
0.11220300197601318,0.001,0.010704157873988152,2114,4240000,53000,1.5158122777938843,0.0007272674363255627,0.9162792861461639,-0.005786846880801022
0.027200788259506226,0.001,0.00397094851359725,2114,4248000,53100,1.6247098445892334,0.0007272674363255627,0.8911376222968102,-0.1844966633594595
-0.11492733657360077,0.001,0.019288495182991028,2114,4256000,53200,1.6192817687988281,0.0007272674363255627,0.8378745466470718,-0.2609278837218881
0.05144178122282028,0.001,0.02506892755627632,2114,4264000,53300,1.6351239681243896,0.0007272674363255627,0.8043717443943024,-0.051011810824275014
-0.05750592425465584,0.001,0.009914158843457699,2115,4272000,53400,1.655805230140686,0.0007272674363255627,0.9057328626513481,-0.24686429067514837
0.030515436083078384,0.001,0.004008409101516008,2115,4280000,53500,1.5327932834625244,0.0007272674363255627,0.9458468556404114,-0.44223574325442316
