explained_variance,value_loss,nupdates,fps,total_timesteps,policy_entropy
-0.8818604946136475,2.3045629404805368e-08,1145400,1353,91632000,2.890371322631836
-2.058443069458008,1.49781005376326e-08,1145500,1353,91640000,2.890371322631836
-0.11772012710571289,1.2688258443915856e-08,1145600,1353,91648000,2.890371322631836
-2.9570703506469727,4.000185072072782e-09,1145700,1353,91656000,2.890371799468994
-0.3074836730957031,1.370385938059826e-08,1145800,1353,91664000,2.890371561050415
-13.349507331848145,1.949056560590634e-08,1145900,1353,91672000,2.890371322631836
-1.779876947402954,1.4002073278618354e-08,1146000,1353,91680000,2.890371322631836
0.29844868183135986,4.964396449480546e-09,1146100,1352,91688000,2.890371561050415
-27.038930892944336,4.1696996078144366e-08,1146200,1352,91696000,2.890371322631836
-5.67681884765625,1.5680456044719904e-08,1146300,1352,91704000,2.890371322631836
-1.274928092956543,9.25163412546226e-09,1146400,1352,91712000,2.890371799468994
-0.7546381950378418,2.246767749625178e-08,1146500,1352,91720000,2.890371322631836
-3.9686684608459473,2.582720171062647e-08,1146600,1352,91728000,2.890371322631836
-1.4726853370666504,4.696346422861097e-09,1146700,1352,91736000,2.890371561050415
-11.594168663024902,5.4019636763769086e-08,1146800,1352,91744000,2.890371322631836
-2.710603952407837,3.581825325227328e-08,1146900,1352,91752000,2.890371561050415
-1.5729124546051025,7.493901499344702e-09,1147000,1352,91760000,2.890371322631836
-2.5698344707489014,2.1122605886603196e-08,1147100,1351,91768000,2.890371322631836
-0.8158755302429199,2.2038884495145794e-08,1147200,1351,91776000,2.890371799468994
-2.902080774307251,6.591198342675852e-08,1147300,1351,91784000,2.890371322631836
-0.7828924655914307,3.0380991056233597e-09,1147400,1351,91792000,2.890371561050415
-1.3501999378204346,6.500904703443666e-09,1147500,1351,91800000,2.890371799468994
-0.03358149528503418,3.315240082457649e-09,1147600,1351,91808000,2.890371322631836
-1.749168872833252,5.317724927067502e-09,1147700,1351,91816000,2.890371322631836
-0.551315188407898,1.5746776327318912e-08,1147800,1351,91824000,2.890371322631836
-3.0632452964782715,6.695088927699544e-08,1147900,1351,91832000,2.890371322631836
-1.3618581295013428,7.144750124865595e-09,1148000,1351,91840000,2.890371322631836
-0.030318260192871094,1.1535981947474738e-08,1148100,1351,91848000,2.890371322631836
0.030370891094207764,3.679871074524499e-09,1148200,1350,91856000,2.890371322631836
-2.079489231109619,2.5519005575347364e-08,1148300,1350,91864000,2.890371561050415
