learning rate,nupdates,policy_entropy,explained_variance,total_timesteps,fps,value_loss,avg reward
0.001,10200,1.0985491275787354,-1.6247270107269287,816000,1875,9.924258847604506e-06,0.0021757433380116707
0.001,10300,1.098587989807129,-0.6399751901626587,824000,1872,1.0709681191656273e-05,0.0029431997871981253
0.001,10400,1.0986095666885376,-1.247973918914795,832000,1872,8.985874956124462e-06,-0.007981684441620018
0.001,10500,1.0986113548278809,-0.905410647392273,840000,1873,8.775671631156001e-06,0.002920776120481605
0.001,10600,1.098602533340454,-0.6665127277374268,848000,1874,1.054636959452182e-05,0.0020889829453210494
0.001,10700,1.098583459854126,-0.11608076095581055,856000,1872,5.758028237323742e-06,0.007533472555223852
0.001,10800,1.0986003875732422,-0.6714190244674683,864000,1873,1.0297933840774931e-05,0.009917622088687494
0.001,10900,1.0985946655273438,-0.7167031764984131,872000,1873,7.3529736255295575e-06,0.0034721002044534543
0.001,11000,1.09859299659729,-1.1434690952301025,880000,1874,7.042790002742549e-06,-0.0006738014823895356
0.001,11100,1.0985435247421265,-1.2856509685516357,888000,1872,9.581299309502356e-06,0.01597127829445526
0.001,11200,1.098576307296753,0.17179930210113525,896000,1872,8.453078407910652e-06,0.019222396798431872
0.001,11300,1.098588228225708,-0.6650094985961914,904000,1873,5.5758537200745195e-06,0.013458260358311236
0.001,11400,1.0985794067382812,-0.8603101968765259,912000,1874,4.9311820475850254e-06,0.008787266310537233
0.001,11500,1.0985828638076782,-0.076027512550354,920000,1872,7.735233339190017e-06,0.007761034395662137
0.001,11600,1.0985743999481201,-1.772428274154663,928000,1873,5.77934179091244e-06,0.010206142178503796
0.001,11700,1.098573088645935,-0.11421310901641846,936000,1874,9.69829397945432e-06,0.01277223922079429
0.001,11800,1.0985686779022217,-0.8587875366210938,944000,1874,5.342578788258834e-06,0.011407645500730723
0.001,11900,1.0985887050628662,-0.3618205785751343,952000,1872,6.472378117905464e-06,-0.0029718957459408555
0.001,12000,1.0986051559448242,-0.010022401809692383,960000,1873,7.038285730232019e-06,-0.011639607965480536
0.001,12100,1.098609209060669,-1.3538436889648438,968000,1874,5.136409072292736e-06,-0.0046913980215322225
0.001,12200,1.0986003875732422,-2.950655221939087,976000,1875,6.536776254506549e-06,-0.008869672007858754
0.001,12300,1.0986034870147705,-0.8841812610626221,984000,1872,7.701596587139647e-06,0.0024680116854142397
0.001,12400,1.0985748767852783,-1.2511367797851562,992000,1873,6.848097655165475e-06,0.006661061706836335
0.001,12500,1.0985968112945557,-0.7968102693557739,1000000,1873,8.742820682527963e-06,0.005864073736302089
0.001,12600,1.0986014604568481,-0.08863198757171631,1008000,1874,8.510179213772062e-06,-0.0007272056929650717
0.001,12700,1.0986037254333496,-0.5938824415206909,1016000,1872,7.114963409549091e-06,0.002558450773176446
0.001,12800,1.09860360622406,-0.825294017791748,1024000,1873,8.031644028960727e-06,0.0023249637649314535
0.001,12900,1.0985956192016602,-0.30411064624786377,1032000,1874,7.789632945787162e-06,0.004185095716456999
0.001,13000,1.0986058712005615,-0.07695984840393066,1040000,1874,6.365565241139848e-06,-0.0022408569191611606
0.001,13100,1.0986121892929077,-0.4933443069458008,1048000,1872,5.538388904824387e-06,-0.0008901558945581201
0.001,13200,1.098606824874878,-1.1716504096984863,1056000,1872,6.014004611643031e-06,-0.00012561406056192935
0.001,13300,1.098595380783081,-0.28457891941070557,1064000,1873,5.942793904978316e-06,0.0003142337463941658
0.001,13400,1.0986039638519287,-0.11690354347229004,1072000,1874,8.144488674588501e-06,0.0028550959881386007
0.001,13500,1.0986015796661377,-0.8130413293838501,1080000,1872,7.906329301476944e-06,0.005384481292276177
0.001,13600,1.0986077785491943,-0.4924110174179077,1088000,1872,5.16782665727078e-06,0.0010381186768427142
0.001,13700,1.0986111164093018,-0.1755582094192505,1096000,1872,5.7663710322231054e-06,-0.005368691683815996
0.001,13800,1.0986095666885376,-0.3688969612121582,1104000,1873,6.5761460064095445e-06,0.0033811279266956263
0.001,13900,1.098598599433899,-0.5646018981933594,1112000,1873,4.751177129946882e-06,-0.0016658111517244834
