total_timesteps,avg reward,fps,policy_entropy,value_loss,nupdates,explained_variance
2032000,0.0011793322714311217,2025,2.1972053050994873,1.8213711882708594e-05,25400,-3.1054458618164062
2040000,-0.0026086577292971924,2025,2.1971983909606934,7.151911177061265e-06,25500,0.22784042358398438
2048000,-0.001908921187219903,2026,2.197221279144287,7.03839396010153e-06,25600,-0.9911422729492188
2056000,-0.0011187404523752774,2026,2.1972203254699707,2.7099424187326804e-05,25700,-1.5442218780517578
2064000,-0.002183531996797683,2026,2.19722318649292,3.268570026193629e-06,25800,0.04643768072128296
2072000,-4.65330173028633e-05,2026,2.197218656539917,3.44889922416769e-05,25900,-0.9417638778686523
2080000,0.004087263865585555,2025,2.1972224712371826,6.207133992575109e-06,26000,-0.15713417530059814
2088000,-0.00317970332744153,2025,2.1972007751464844,3.1990887237043353e-06,26100,0.019565284252166748
2096000,0.0017148483951359595,2026,2.1972222328186035,7.268035005836282e-06,26200,0.07595968246459961
2104000,0.00012460705620469524,2026,2.197220802307129,2.0616753317881376e-05,26300,-1.0456244945526123
2112000,-0.0019500032823543735,2026,2.1972198486328125,2.0166087324469117e-06,26400,-0.2203376293182373
2120000,-0.0004615491148797446,2026,2.1972203254699707,1.9735918613150716e-05,26500,-0.7959675788879395
2128000,0.0028356097383948507,2025,2.197221279144287,8.093976248346735e-06,26600,-0.09778165817260742
2136000,-0.00043036665701947643,2025,2.197221040725708,5.160659839020809e-06,26700,-0.6643753051757812
2144000,0.0013492468184267636,2025,2.1971969604492188,3.471094942142372e-06,26800,0.39521825313568115
2152000,-0.0007903396290657838,2026,2.1972198486328125,8.782866643741727e-06,26900,-1.1348459720611572
2160000,0.004007995400752406,2026,2.197219133377075,2.090941052301787e-05,27000,-0.7815612554550171
2168000,8.004243441064318e-05,2026,2.1972193717956543,2.3076345314620994e-06,27100,-1.028592586517334
2176000,0.006137615107581951,2026,2.1972172260284424,3.932189065380953e-05,27200,-1.959242582321167
2184000,-0.0012648993542825337,2025,2.1972193717956543,5.387705641624052e-06,27300,-2.0614051818847656
2192000,-0.006844145114882849,2025,2.1971774101257324,6.299488632066641e-06,27400,-0.9599838256835938
2200000,0.006940411845926064,2026,2.1972012519836426,4.8171525122597814e-05,27500,-0.3305952548980713
2208000,-0.0016383597701860708,2026,2.1972193717956543,1.7515510990051553e-05,27600,-1.3417761325836182
2216000,-0.0012630393277504482,2026,2.1972169876098633,2.201760798925534e-05,27700,0.07230287790298462
2224000,0.0011186472036570194,2026,2.197218179702759,4.629771410691319e-06,27800,-1.638411045074463
2232000,0.0017551572615047916,2027,2.1972146034240723,3.071978426305577e-05,27900,-2.1984546184539795
2240000,0.0017722375737548647,2026,2.1972179412841797,3.860485321638407e-06,28000,-0.6259405612945557
2248000,0.002094717184672845,2026,2.1971840858459473,5.459377462102566e-06,28100,-0.3619152307510376
2256000,0.000825416587986183,2026,2.197219133377075,5.928807695454452e-06,28200,-0.3777843713760376
2264000,0.00042817153789656006,2026,2.1972150802612305,2.125964056176599e-05,28300,-1.1672756671905518
2272000,7.613595148541208e-05,2026,2.1972174644470215,1.8911098322860198e-06,28400,-0.8552045822143555
2280000,-0.0002798519426960411,2027,2.1972146034240723,2.4742364985286258e-05,28500,-3.349350929260254
2288000,0.0028631506487727166,2025,2.197218894958496,6.514970209536841e-06,28600,-1.7136578559875488
2296000,0.0019921644407986604,2025,2.197219133377075,4.791490937350318e-06,28700,-0.03187680244445801
2304000,0.0002876519007259049,2025,2.197183132171631,7.082614956743782e-06,28800,0.07134699821472168
2312000,-0.0013643761943058052,2025,2.19722056388855,6.171078894112725e-06,28900,-1.2009501457214355
2320000,0.0010412713818368502,2026,2.197219133377075,2.32123420573771e-05,29000,-0.953346848487854
2328000,-0.0005081824712760863,2026,2.197221040725708,3.3877142868732335e-06,29100,0.11519557237625122
2336000,0.005109828642889625,2026,2.197221040725708,3.09068345814012e-05,29200,-2.8390870094299316
2344000,0.00021700064462493174,2025,2.1972227096557617,4.246279331709957e-06,29300,-0.4835667610168457
2352000,0.0023366278310277266,2025,2.1971867084503174,4.886877832177561e-06,29400,-0.24963152408599854
2360000,-0.0003563903839676641,2025,2.1972227096557617,9.385589692101348e-06,29500,-0.23989903926849365
2368000,-0.0011118343184080004,2025,2.197221040725708,2.4745637347223237e-05,29600,-0.5145139694213867
2376000,-0.0011750802582568554,2025,2.197221279144287,8.236227586166933e-06,29700,-1.8466103076934814
2384000,-0.00014998359447417897,2026,2.197221040725708,1.7232187019544654e-05,29800,-1.7994556427001953
2392000,0.0007336117731028935,2026,2.197218179702759,2.269837204948999e-05,29900,-0.25729119777679443
2400000,0.0002298261012697367,2025,2.1972217559814453,4.414922386786202e-06,30000,-1.8571586608886719
2408000,0.0012620902631169883,2025,2.197188138961792,5.8630666899262e-06,30100,0.0992993712425232
2416000,0.002008570377074648,2025,2.1972227096557617,6.490478881460149e-06,30200,-0.47837376594543457
2424000,-0.0014937320644094142,2025,2.1972203254699707,1.4551455024047755e-05,30300,-0.37955522537231445
2432000,0.00018249756484749468,2025,2.197221517562866,2.3629688712389907e-06,30400,-1.801682710647583
2440000,-0.003201443249916025,2025,2.197221279144287,1.721141961752437e-05,30500,-0.42813944816589355
2448000,0.001393184660719271,2024,2.197221279144287,4.696524229075294e-06,30600,-0.306105375289917
2456000,0.0018384659000730609,2024,2.1972217559814453,4.794788310391596e-06,30700,-0.936901330947876
2464000,-0.007714116084389389,2024,2.1971943378448486,8.128268746077083e-06,30800,-1.2976934909820557
2472000,-0.0010921330969722476,2025,2.197220802307129,6.6399707066011615e-06,30900,0.1760525107383728
2480000,-0.00556055400884361,2025,2.19722056388855,2.690229121071752e-05,31000,-0.437103271484375
2488000,-0.001418652356005623,2025,2.1972193717956543,2.7642768145597074e-06,31100,-0.23202753067016602
2496000,-0.0009609262273443164,2025,2.1972198486328125,2.704751750570722e-05,31200,-0.1094813346862793
2504000,0.0010884840310268374,2023,2.1972217559814453,3.0806938866589917e-06,31300,-0.5769635438919067
2512000,0.002342070857048384,2024,2.1971888542175293,2.8149088393547572e-06,31400,-0.0778813362121582
2520000,0.001966578344217851,2024,2.197221279144287,5.427882570074871e-06,31500,0.07877469062805176
2528000,-0.0005183581070014043,2024,2.197221279144287,1.528105713077821e-05,31600,-0.7672255039215088
2536000,0.0026494886431464694,2024,2.1972203254699707,2.0645281892939238e-06,31700,0.28116607666015625
2544000,0.004293753375714004,2024,2.197221040725708,2.2098705812823027e-05,31800,-0.6651118993759155
2552000,0.002577646106510656,2023,2.197221279144287,6.272012797126081e-06,31900,-0.6900273561477661
2560000,0.00039626329141242425,2023,2.1972198486328125,5.731697910960065e-06,32000,-0.6733821630477905
2568000,0.000422903336584568,2023,2.197202205657959,2.9496961815311806e-06,32100,0.42566418647766113
2576000,0.0010867469447475742,2023,2.1972203254699707,4.903500212094514e-06,32200,0.013275444507598877
2584000,-0.0008791657069423308,2024,2.1972198486328125,2.0808325643884018e-05,32300,-1.8706562519073486
2592000,-0.001986383039911743,2023,2.197218179702759,2.128626420017099e-06,32400,-0.06753623485565186
2600000,-0.0014158220099488971,2024,2.197218894958496,3.5286357160657644e-05,32500,-0.25108015537261963
2608000,0.00023764203360769897,2022,2.1972203254699707,5.545227850234369e-06,32600,-1.3819620609283447
2616000,-0.00017232881773452391,2023,2.1972198486328125,4.078714937350014e-06,32700,-0.4441150426864624
2624000,-0.001271781150262541,2023,2.197205066680908,6.049726380297216e-06,32800,0.07500910758972168
2632000,0.002020301975790062,2023,2.197221279144287,9.8167329269927e-06,32900,-0.43888747692108154
2640000,0.0017051139227987732,2023,2.1972193717956543,1.2771293768309988e-05,33000,-0.03289353847503662
2648000,0.0007287919607620097,2023,2.1972203254699707,1.9767051071539754e-06,33100,-0.03203988075256348
2656000,0.005792881125307759,2023,2.1972172260284424,1.9590675947256386e-05,33200,-2.1266286373138428
2664000,2.559028862378909e-05,2022,2.197220802307129,2.4480091269651894e-06,33300,-0.15814208984375
2672000,-0.0024916928217862734,2022,2.1972060203552246,3.5187063076591585e-06,33400,-0.17885589599609375
2680000,0.0013834898674758734,2022,2.1972217559814453,6.2218264247349e-06,33500,-1.4563417434692383
2688000,0.0013108639803249388,2022,2.1972203254699707,1.8263224774273112e-05,33600,0.028872907161712646
2696000,-0.0014443923724684281,2023,2.1972219944000244,2.474111852279748e-06,33700,-1.1816136837005615
2704000,0.001152328863099683,2023,2.1972203254699707,2.4447979740216397e-05,33800,-1.7390179634094238
2712000,3.932061663363129e-05,2022,2.1972222328186035,8.72242799232481e-06,33900,-0.7735259532928467
2720000,-0.00032031493947215495,2022,2.197221279144287,4.683477527578361e-06,34000,-1.1627790927886963
2728000,0.009973000705940649,2022,2.197213649749756,5.88554621572257e-06,34100,0.3586374521255493
2736000,-0.0001857085895153432,2022,2.1972217559814453,6.119888894318137e-06,34200,-0.9057375192642212
2744000,-0.00027972154824738025,2022,2.197219133377075,2.6608569896779954e-05,34300,-0.6036403179168701
2752000,-0.0028096689783296824,2022,2.1972217559814453,2.0489546841417905e-06,34400,0.21367090940475464
2760000,-0.002039612625230802,2022,2.1972169876098633,2.800893344101496e-05,34500,0.008561015129089355
2768000,-0.0010508464873055345,2021,2.1972222328186035,5.423274160420988e-06,34600,-1.6528637409210205
2776000,-0.00047395211822731653,2021,2.197221040725708,1.3601316823041998e-05,34700,-0.0461045503616333
2784000,0.0015394721311167813,2021,2.1972146034240723,3.225346063118195e-06,34800,0.23744899034500122
2792000,-0.00016450083312520293,2021,2.1972198486328125,6.219454917300027e-06,34900,-0.460529088973999
2800000,-0.004603235023205343,2021,2.197218418121338,2.4392304112552665e-05,35000,-1.0359857082366943
2808000,-0.0009895603536961063,2021,2.1972198486328125,1.7904272908708663e-06,35100,0.2764385938644409
2816000,-0.0015077798980200896,2022,2.197214365005493,2.3511916879215278e-05,35200,-1.6449377536773682
2824000,0.0005522686964468448,2020,2.197219133377075,2.2304107005766127e-06,35300,-1.0178782939910889
2832000,0.0029858053399948402,2021,2.197206735610962,2.9103255201334832e-06,35400,-0.035910844802856445
2840000,-0.0017383644219080452,2021,2.1972203254699707,4.8901315494731534e-06,35500,-0.8112037181854248
2848000,0.00048372815290349537,2021,2.197218179702759,2.2810258087702096e-05,35600,-0.6701610088348389
2856000,0.0006049887356311956,2021,2.1972198486328125,2.5537733563396614e-06,35700,0.07329899072647095
2864000,0.00155206099152565,2021,2.197218894958496,1.8380527762928978e-05,35800,-0.5378077030181885
2872000,0.0011543575028554187,2020,2.197221279144287,5.416183739725966e-06,35900,-0.8126024007797241
2880000,0.001587959191419941,2020,2.1972203254699707,3.587378614611225e-06,36000,-1.0561580657958984
