nupdates,fps,explained_variance,policy_entropy,total_timesteps,value_loss,avg reward,learning rate
90400,1823,-0.611342191696167,1.0986106395721436,7232000,1.1811065405709087e-06,-0.0015263310939189977,0.001
90500,1823,-0.23934674263000488,1.09861159324646,7240000,1.4666657079942524e-06,-0.002692338256497351,0.001
90600,1823,-0.1725313663482666,1.0986108779907227,7248000,1.0946711199721904e-06,-0.0014606339776946698,0.001
90700,1823,-1.9888372421264648,1.09861159324646,7256000,1.5188636552920798e-06,-0.003197494719643146,0.001
90800,1823,-0.3483809232711792,1.0986106395721436,7264000,1.3583036206910037e-06,0.002550482203514548,0.001
90900,1823,-1.195566177368164,1.0986108779907227,7272000,1.1389417977625271e-06,0.0008997119050036418,0.001
91000,1823,-0.24539661407470703,1.098610281944275,7280000,1.3958875797470682e-06,0.002068968630192103,0.001
91100,1823,-0.764518141746521,1.0985095500946045,7288000,6.781872798455879e-06,0.005013873045390938,0.001
91200,1823,-0.17088723182678223,1.098581314086914,7296000,3.424897613513167e-06,0.0035339967775598778,0.001
91300,1823,-0.9315668344497681,1.098589539527893,7304000,2.8539466256916057e-06,0.001910770781978499,0.001
91400,1823,-0.301302433013916,1.0986080169677734,7312000,2.9238312890811358e-06,0.0014585796713618038,0.001
91500,1823,-0.8946629762649536,1.098610281944275,7320000,9.408153118783957e-07,0.0002963626052860491,0.001
91600,1823,-2.493046998977661,1.098611831665039,7328000,1.3852735492037027e-06,0.0014967708728363504,0.001
91700,1823,-2.4217946529388428,1.0986117124557495,7336000,1.1556610388652189e-06,-0.0037033336411695927,0.001
91800,1823,-0.5256116390228271,1.0986119508743286,7344000,1.0833200576598756e-06,-0.0023925403869725415,0.001
91900,1823,-0.5035260915756226,1.0986113548278809,7352000,1.3367432529776124e-06,-0.00410903706215322,0.001
92000,1823,-2.0297398567199707,1.0986113548278809,7360000,1.158050849880965e-06,-0.0025372367541422135,0.001
92100,1823,-0.8762091398239136,1.09861159324646,7368000,1.1545532743184594e-06,-0.0019290921074968993,0.001
92200,1823,-1.1169562339782715,1.0986099243164062,7376000,1.0989660950144753e-06,-0.0017144184825156118,0.001
92300,1823,-0.552497386932373,1.098611831665039,7384000,1.0473637530594715e-06,-0.0012883249349215475,0.001
92400,1823,-0.1421527862548828,1.0986063480377197,7392000,1.2096504633518634e-06,-0.001478110288735479,0.001
92500,1823,-1.8490865230560303,1.0985766649246216,7400000,1.6873724462129758e-06,0.02327625306788832,0.001
92600,1823,-0.8146519660949707,1.0985982418060303,7408000,1.4068928066990338e-06,-0.00020675565392593853,0.001
92700,1823,-1.5957040786743164,1.0986065864562988,7416000,1.8410770508126006e-06,0.0014239871368772583,0.001
92800,1823,-0.38346683979034424,1.098610520362854,7424000,9.971010968001792e-07,0.0005640899345280559,0.001
92900,1823,-1.164330244064331,1.09861159324646,7432000,1.6850057136252872e-06,-0.0005534695297683357,0.001
93000,1823,-0.9210474491119385,1.0986106395721436,7440000,2.3992724891286343e-06,0.0015309504215110792,0.001
93100,1823,-0.857569694519043,1.0986112356185913,7448000,1.2007458281004801e-06,0.0004859192824369529,0.001
93200,1823,-2.401571035385132,1.0986106395721436,7456000,1.5706652902736096e-06,0.003397959837457165,0.001
93300,1822,-1.1183650493621826,1.0986089706420898,7464000,1.5387309986181208e-06,-0.0008810827570641777,0.001
93400,1823,-0.6177754402160645,1.0986096858978271,7472000,1.2943116871610982e-06,-0.00044663982662314085,0.001
93500,1823,-0.9494056701660156,1.0986108779907227,7480000,1.187263137580885e-06,-0.0013673641895366017,0.001
93600,1823,-0.9922971725463867,1.0986113548278809,7488000,1.4366740970217506e-06,0.0006250461002309749,0.001
93700,1823,-0.9773237705230713,1.098610520362854,7496000,1.1939974911001627e-06,0.0003593310303301678,0.001
93800,1823,-0.727462649345398,1.09861159324646,7504000,1.7247508594664396e-06,-0.0023444116399332416,0.001
93900,1823,-0.18646478652954102,1.0986120700836182,7512000,1.4279082733992254e-06,-0.001648056939302478,0.001
94000,1823,-0.5463912487030029,1.09861159324646,7520000,1.3196438430895796e-06,-0.000991350657750445,0.001
94100,1822,-1.3234789371490479,1.0986114740371704,7528000,1.0627816209307639e-06,-0.00017876944461932,0.001
94200,1822,-1.408857822418213,1.098611831665039,7536000,1.0209582796960603e-06,0.0021812482467794326,0.001
94300,1823,-0.5468538999557495,1.0986120700836182,7544000,1.4313781093733269e-06,0.0012962684249032464,0.001
94400,1823,-0.525766134262085,1.0986120700836182,7552000,1.0735250270954566e-06,0.0013099147265165812,0.001
94500,1822,0.01681995391845703,1.0986120700836182,7560000,9.21707851375686e-07,0.001122483858580381,0.001
94600,1822,-0.8005448579788208,1.09861159324646,7568000,1.0026125210060854e-06,-0.0009133479809861455,0.001
94700,1822,-0.6774696111679077,1.0986120700836182,7576000,1.124160917242989e-06,-0.0003240654420096689,0.001
94800,1823,-0.46493029594421387,1.0986117124557495,7584000,7.572774052277964e-07,0.0005653281172271818,0.001
94900,1822,-0.4867687225341797,1.0986106395721436,7592000,1.232500835612882e-06,-0.0016387438270157872,0.001
95000,1822,-1.3714404106140137,1.09861159324646,7600000,1.1274580629105913e-06,0.0035940519795985893,0.001
95100,1822,-0.47534942626953125,1.0986113548278809,7608000,7.968054660523194e-07,0.0009633071302232565,0.001
95200,1823,-1.0286719799041748,1.098611831665039,7616000,1.0615124210744398e-06,0.0007744357642025079,0.001
95300,1822,-0.11042451858520508,1.0986111164093018,7624000,6.933557301636029e-07,9.29702751818695e-05,0.001
95400,1822,-0.043449997901916504,1.098611831665039,7632000,9.01194027846941e-07,-1.7309160102740862e-05,0.001
95500,1822,-0.047095298767089844,1.0986112356185913,7640000,7.92970524798875e-07,-0.0014973454397477326,0.001
95600,1823,-0.884489893913269,1.0986095666885376,7648000,1.3822802884533303e-06,0.00038862278934175264,0.001
95700,1822,-0.5236340761184692,1.0986121892929077,7656000,9.594392622602754e-07,-0.00045985021390606564,0.001
