nupdates,value_loss,policy_entropy,explained_variance,total_timesteps,avg reward,fps
33700,14.114423751831055,6.159629265312105e-05,0.9594231620430946,2696000,-31.158925009705126,1902
33800,0.5547971725463867,3.6629371606977656e-06,0.8904083371162415,2704000,5.252329188585281,1902
33900,16.25333595275879,5.189823570894703e-10,0.9647296853363514,2712000,-30.34003835618496,1903
34000,1.466120958328247,2.6433191271488507e-26,0.9264594167470932,2720000,8.015444223582744,1903
34100,123.86430358886719,2.6383614737390815e-10,0.8551758378744125,2728000,-39.86033326536417,1903
34200,5.891108512878418,5.406315035677907e-24,0.9672967493534088,2736000,23.78650439530611,1903
34300,21.167612075805664,6.855461836229038e-13,0.8850878551602364,2744000,26.37784101963043,1903
34400,53.28279495239258,6.767883850688328e-20,0.9445292390882969,2752000,49.84603634476662,1903
34500,6.463675498962402,2.774456948127053e-16,0.9764264095574617,2760000,26.507284796237947,1904
34600,390.78228759765625,3.52823053296484e-29,0.9583935253322124,2768000,-170.42453719377517,1904
34700,13.04785442352295,5.279886703085483e-14,0.9009299799799919,2776000,-15.123476143926382,1904
34800,8.630617141723633,2.4981613437313453e-18,0.958506491035223,2784000,20.745442147552968,1904
34900,3.7544963359832764,2.8016089448357206e-09,0.9318985268473625,2792000,10.964891025424004,1904
35000,24.461305618286133,1.3254800705908565e-06,0.8660940676927567,2800000,-14.889591896627099,1904
35100,1.215973138809204,0.005361973308026791,0.9006127491593361,2808000,-7.1222370862960815,1903
35200,3.6707940101623535,0.03265463560819626,0.897086851298809,2816000,-6.506056518852711,1903
35300,1.5586159229278564,2.9353323043324053e-06,0.9907220900058746,2824000,-13.934770768508315,1903
35400,0.3412817120552063,0.04367443546652794,0.8261558264493942,2832000,0.3271126292645931,1903
35500,3.5649752616882324,0.17297646403312683,0.9217043220996857,2840000,-5.622712932527065,1904
35600,0.08837084472179413,0.08474792540073395,0.6654766499996185,2848000,0.952190587669611,1904
35700,0.22336335480213165,0.30168455839157104,0.9397010840475559,2856000,3.2049268893897533,1904
35800,0.03585260361433029,0.27137622237205505,0.6684899032115936,2864000,1.3933773186057805,1904
35900,0.07681677490472794,0.1112254410982132,0.9011943936347961,2872000,-0.24736636355519295,1904
36000,0.6326403617858887,0.39183324575424194,0.5531538128852844,2880000,0.19480671733617783,1904
36100,2.536398410797119,0.35318508744239807,0.604084849357605,2888000,4.3837057396769525,1903
36200,0.04893925040960312,0.2036604881286621,0.9538261815905571,2896000,0.6041437790729105,1903
36300,0.3750630021095276,0.3279378414154053,0.6537392139434814,2904000,1.173139184527099,1903
36400,13.456616401672363,0.29856500029563904,0.4278358221054077,2912000,9.721001663804055,1903
36500,17.291902542114258,0.18632568418979645,0.3279968500137329,2920000,6.7825489938259125,1903
36600,0.26974883675575256,0.4805285930633545,0.8290975391864777,2928000,2.94382900595665,1903
36700,0.12439583241939545,0.4488185942173004,0.9781180229038,2936000,-0.9977736543864012,1904
36800,0.5424050092697144,0.011425329372286797,0.7177797257900238,2944000,-0.9744059756398201,1904
36900,0.15834441781044006,0.5823713541030884,0.6144294142723083,2952000,1.316652276692912,1904
37000,0.4748420715332031,0.5864802598953247,0.957969069480896,2960000,4.787970274686813,1904
37100,0.031472302973270416,0.4500289857387543,0.7223469316959381,2968000,1.366016085445881,1904
37200,0.03651445358991623,0.47229209542274475,0.9593121111392975,2976000,0.7158641841262579,1903
37300,0.16044291853904724,0.357835590839386,0.25936609506607056,2984000,1.8097967259585857,1903
37400,0.669281542301178,0.8849420547485352,0.7437258660793304,2992000,2.653636409342289,1903
37500,0.4569884240627289,0.4924399256706238,0.6349210739135742,3000000,2.5994386970996857,1903
37600,0.026711147278547287,0.8572249412536621,0.7870594412088394,3008000,1.3610600197222085,1903
37700,0.08647550642490387,1.1650019884109497,0.26332640647888184,3016000,1.5262501686811447,1903
37800,1.0942004919052124,0.6058048605918884,0.8055801093578339,3024000,3.7006614200770853,1903
37900,0.17112921178340912,0.8279092907905579,0.9663000144064426,3032000,-0.004318971186876297,1904
38000,1.5527881383895874,0.45154276490211487,0.8971573561429977,3040000,5.406551158428192,1904
38100,0.10161761939525604,0.38633450865745544,0.49530982971191406,3048000,1.442244327068329,1904
38200,0.08864064514636993,0.8553767204284668,-0.05133247375488281,3056000,1.5780920386314392,1904
38300,0.8076073527336121,0.5789504051208496,0.7809948027133942,3064000,-0.6727741175796836,1905
38400,0.11322502791881561,0.6855136156082153,0.6911901831626892,3072000,2.0447720542550085,1904
38500,0.19808876514434814,0.16729143261909485,0.8091660588979721,3080000,-0.038960734754800795,1904
38600,0.0319383330643177,0.8819668889045715,0.9064664244651794,3088000,1.8416860446333885,1904
38700,0.6404374241828918,0.5286916494369507,0.8412700593471527,3096000,3.1043776005506514,1904
38800,0.6453479528427124,0.5960944294929504,0.8642755001783371,3104000,3.537630932033062,1904
38900,0.2028123140335083,0.7159620523452759,0.8725057691335678,3112000,2.586472710967064,1905
39000,0.9405282735824585,0.8109031915664673,0.9596614800393581,3120000,6.703001682460308,1904
39100,0.15604905784130096,0.8057300448417664,0.8953279927372932,3128000,2.3714378155767917,1904
39200,0.9924235343933105,0.7516552805900574,0.8616980314254761,3136000,-0.5919518247246742,1904
39300,0.22815366089344025,0.7179642915725708,0.9104887768626213,3144000,0.15732146208174527,1904
39400,0.4083823263645172,0.6659834384918213,0.4201256036758423,3152000,2.1750900760293006,1904
39500,0.0806046649813652,0.7102456092834473,0.306003212928772,3160000,1.4827886752784252,1904
39600,0.3477744460105896,0.9053869247436523,0.5823614597320557,3168000,2.310329496860504,1904
39700,0.08794618397951126,0.7900297045707703,0.8164940923452377,3176000,2.1661659613251687,1905
39800,1.0420559644699097,0.44079408049583435,0.31679487228393555,3184000,3.1136109456419945,1905
39900,0.2009715586900711,0.39744657278060913,0.9401052743196487,3192000,0.023171288892626762,1905
40000,0.05408424139022827,1.2191979885101318,0.6682958006858826,3200000,1.0919946555048228,1905
40100,0.2515621781349182,0.2755335867404938,0.8336630761623383,3208000,1.2000918637961149,1905
40200,0.06498004496097565,0.5691013932228088,0.5565565824508667,3216000,1.1947700371965766,1905
40300,0.08474329859018326,0.6880683898925781,0.29376155138015747,3224000,1.4296615615487098,1905
40400,0.02568412758409977,0.8878185153007507,0.7964252531528473,3232000,1.316350529436022,1905
40500,1.586495280265808,0.8098387718200684,-0.001604914665222168,3240000,2.6871735766530036,1905
40600,0.24532373249530792,0.7018055319786072,0.7976937592029572,3248000,-0.11850645951926708,1905
40700,0.142695814371109,0.7839338779449463,0.5994158983230591,3256000,1.825203637778759,1905
40800,0.04371211677789688,0.7193104028701782,0.18002331256866455,3264000,1.2111159965395928,1906
40900,0.47366419434547424,0.5938689112663269,0.818263366818428,3272000,3.42983273640275,1905
41000,0.1243496984243393,1.029504418373108,0.3799981474876404,3280000,1.2741121768951416,1905
41100,0.053963713347911835,1.6743042469024658,0.2891227602958679,3288000,1.1756092451512814,1905
41200,0.5241031646728516,1.0503557920455933,0.4232400059700012,3296000,1.7841666415333748,1905
41300,0.018307283520698547,1.1525681018829346,0.6272794306278229,3304000,1.2009029969573022,1905
41400,2.0152525901794434,0.6639066934585571,0.42367875576019287,3312000,3.6291784070432187,1905
41500,0.39724424481391907,0.5592662692070007,0.5433836281299591,3320000,2.9661484226584434,1904
41600,0.059363413602113724,1.1244484186172485,0.38341575860977173,3328000,1.7935126304626465,1904
41700,0.06983033567667007,0.9290210604667664,0.8350503146648407,3336000,1.2105328280478715,1904
41800,0.03964672237634659,1.49480402469635,0.037613749504089355,3344000,1.388500850647688,1904
41900,0.04832930117845535,0.9153021574020386,0.562409371137619,3352000,1.2765596549957992,1905
42000,0.025106769055128098,0.5448192358016968,0.9084329083561897,3360000,1.0870382281951607,1905
42100,0.1681056171655655,0.6768933534622192,0.6204466819763184,3368000,0.6759713036939502,1905
42200,0.09286008775234222,0.8729134798049927,0.29831463098526,3376000,1.5543769717216491,1905
42300,1.6547071933746338,0.7148826718330383,-0.3116769790649414,3384000,2.2153163842856882,1905
42400,0.15007224678993225,0.5955051183700562,0.5415110886096954,3392000,0.6857158907223493,1905
42500,0.026892978698015213,0.9088276624679565,0.6214579343795776,3400000,1.4893790468573571,1905
42600,0.7360134124755859,0.7507209777832031,0.9138157218694687,3408000,4.821067418158054,1905
42700,0.36442360281944275,0.7591729760169983,0.6070748567581177,3416000,0.47924705713521687,1905
42800,0.6575624346733093,0.7200571298599243,0.8683881312608719,3424000,3.113627518713474,1905
42900,0.18457452952861786,0.7558638453483582,0.8021267205476761,3432000,2.581910414248705,1906
43000,0.22911806404590607,0.4327014088630676,0.8480404615402222,3440000,-0.5725159081863239,1906
43100,0.13166221976280212,0.7001678943634033,0.6197153031826019,3448000,1.0268062520546664,1906
43200,0.1293865293264389,0.6678276062011719,0.7475042641162872,3456000,1.893050941824913,1906
43300,0.20106935501098633,0.6527437567710876,0.62059685587883,3464000,0.962903049774468,1906
43400,1.0090659856796265,0.7501264214515686,0.2092418074607849,3472000,2.9517965868115423,1906
43500,0.053063999861478806,0.9812811613082886,0.45072096586227417,3480000,1.9367144584655762,1906
43600,0.034223590046167374,0.8689228296279907,0.7283462285995483,3488000,1.5564546022564172,1906
43700,0.1286127269268036,1.0097814798355103,-0.04424548149108887,3496000,1.7152134239673615,1906
43800,0.34493017196655273,0.6305344700813293,0.5354184508323669,3504000,0.5621763741597533,1906
43900,0.10163893550634384,0.8601897358894348,0.8302073180675507,3512000,2.5185359120368958,1906
44000,0.07222725450992584,0.9000496864318848,0.6782326102256775,3520000,1.095501417014748,1906
44100,6.4028472900390625,0.6195304989814758,0.19581538438796997,3528000,-1.626157783716917,1905
44200,0.27056097984313965,0.5976632237434387,0.504347950220108,3536000,2.4277334928512575,1905
44300,0.04246959835290909,0.4904593825340271,0.3999483585357666,3544000,1.702677746117115,1905
44400,0.28830549120903015,0.6486414670944214,0.8507260680198669,3552000,0.21004497669637204,1905
44500,2.2837138175964355,0.954113781452179,0.05229020118713379,3560000,-0.0017552569508552552,1905
44600,0.6721850633621216,0.9290525317192078,0.9472584538161755,3568000,4.7869891539216045,1905
44700,0.19318287074565887,0.8813287615776062,-0.2239551544189453,3576000,1.6293580308556557,1905
44800,0.04514358937740326,1.1428048610687256,0.4811658263206482,3584000,1.4306071132421494,1905
44900,0.13855522871017456,1.011733055114746,-0.1331651210784912,3592000,1.753513005375862,1905
45000,0.35849320888519287,0.785971462726593,0.34812289476394653,3600000,1.176693769544363,1905
45100,0.06326411664485931,1.2295506000518799,0.7316525280475616,3608000,1.950280199944973,1905
45200,0.04619643837213516,1.6070445775985718,0.30239975452423096,3616000,1.357022801041603,1905
45300,0.8902680277824402,1.2394754886627197,0.5171286165714264,3624000,0.7070644286461174,1905
45400,0.07014641910791397,0.9368149638175964,0.6167746186256409,3632000,1.1652816202491523,1905
45500,1.7181141376495361,0.8059646487236023,0.604849249124527,3640000,2.5930010259151457,1905
45600,0.20477962493896484,0.6577035784721375,0.8459116071462631,3648000,0.5694118533283472,1905
45700,0.14453642070293427,0.825888454914093,0.862017884850502,3656000,2.0664660900831224,1905
45800,0.18654343485832214,0.43764954805374146,0.7884203195571899,3664000,1.8077586203813554,1905
45900,1.2254548072814941,1.0844173431396484,0.8986402824521065,3672000,3.807162715494633,1905
46000,2.7388498783111572,0.7909582257270813,0.7243540585041046,3680000,-1.0774763751775027,1905
46100,5.112796306610107,1.0523087978363037,0.11267858743667603,3688000,3.364753468334675,1906
46200,1.584456443786621,0.43679389357566833,0.877664640545845,3696000,-1.4013762965798378,1906
46300,34.401893615722656,0.5278396010398865,0.9186386317014694,3704000,25.175436297059058,1906
46400,5.4772467613220215,0.5348072052001953,0.9555747844278812,3712000,12.136183750629424,1906
46500,0.4744334816932678,0.5554396510124207,0.7002289295196533,3720000,3.1849426686763764,1906
46600,0.2657335698604584,0.7763907313346863,0.5685778558254242,3728000,2.6410143464803695,1906
46700,0.1703779399394989,0.4509666860103607,0.9137361794710159,3736000,1.098191582225263,1906
46800,0.12142697721719742,0.45295900106430054,0.5116435885429382,3744000,2.287546733021736,1906
46900,2.2855615615844727,0.6672297716140747,0.9379252977669239,3752000,8.34543597996235,1906
47000,16.497880935668945,0.25041550397872925,0.9803315363824368,3760000,30.135939976572992,1906
47100,4.571808338165283,0.4984561502933502,0.8977122902870178,3768000,9.377139532566071,1907
47200,0.1787078082561493,0.399078905582428,0.6843930184841156,3776000,2.1104312974959614,1907
47300,26.61701011657715,0.4773377776145935,0.4587629437446594,3784000,-5.2189286969602104,1907
47400,1.2890942096710205,0.7245102524757385,0.8926020115613937,3792000,-0.8824920132756233,1907
47500,1.9092859029769897,0.2613679766654968,0.828913003206253,3800000,6.129907083511353,1907
47600,19.98417091369629,0.4908340573310852,0.8197186887264252,3808000,-10.61210976243019,1907
