explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy
0.9690321795642376,6120000,0.03109225071966648,2023,76500,1.4962482452392578
0.9571756385266781,6128000,0.08441603928804398,2023,76600,1.4947478771209717
0.9662132263183594,6136000,0.04559217393398285,2023,76700,1.4664249420166016
0.9775125477463007,6144000,0.023425055667757988,2023,76800,1.4950191974639893
0.9779289700090885,6152000,0.03378622233867645,2023,76900,1.474820852279663
0.9782410878688097,6160000,0.053000688552856445,2024,77000,1.4135600328445435
0.9907692587003112,6168000,0.01729438826441765,2024,77100,1.3632007837295532
0.9786680303514004,6176000,0.03159521147608757,2024,77200,1.532334566116333
0.9370832368731499,6184000,0.03619976341724396,2024,77300,1.3629461526870728
0.9699496068060398,6192000,0.03996811807155609,2024,77400,1.3585904836654663
0.9831785727292299,6200000,0.019913069903850555,2024,77500,1.438330054283142
0.9853262975811958,6208000,0.02188815549015999,2024,77600,1.4359853267669678
0.9624265544116497,6216000,0.06372136622667313,2024,77700,1.444809913635254
0.9907030733302236,6224000,0.015654809772968292,2025,77800,1.3512569665908813
0.9682049453258514,6232000,0.03767331317067146,2025,77900,1.481605052947998
0.984863200224936,6240000,0.019281039014458656,2025,78000,1.3967586755752563
0.985814911313355,6248000,0.02806849405169487,2025,78100,1.3760457038879395
0.9803163316100836,6256000,0.029020005837082863,2025,78200,1.4843719005584717
0.9511078484356403,6264000,0.04285594820976257,2025,78300,1.4723931550979614
0.9919305210933089,6272000,0.014379138126969337,2025,78400,1.3638575077056885
0.9155596792697906,6280000,0.151552215218544,2025,78500,1.4298440217971802
0.9837508890777826,6288000,0.025173762813210487,2025,78600,1.4722497463226318
0.9422457478940487,6296000,0.0870702862739563,2026,78700,1.4706553220748901
0.8883258402347565,6304000,0.11634137481451035,2026,78800,1.4717581272125244
0.9614715203642845,6312000,0.04014255106449127,2026,78900,1.3310129642486572
0.954579796642065,6320000,0.057072870433330536,2026,79000,1.5324466228485107
0.9542464688420296,6328000,0.028526782989501953,2026,79100,1.3901211023330688
0.9681544341146946,6336000,0.044060178101062775,2026,79200,1.472882866859436
0.930660679936409,6344000,0.07418086379766464,2026,79300,1.4678022861480713
0.9747144542634487,6352000,0.038662124425172806,2026,79400,1.5178091526031494
0.9311072379350662,6360000,0.09819343686103821,2027,79500,1.4449570178985596
0.9697529431432486,6368000,0.03869149833917618,2027,79600,1.5704777240753174
0.9808527361601591,6376000,0.03174887225031853,2027,79700,1.5156335830688477
0.9781528674066067,6384000,0.027782374992966652,2027,79800,1.4453580379486084
0.993073420599103,6392000,0.012277131900191307,2027,79900,1.4674885272979736
0.9789320435374975,6400000,0.042661819607019424,2027,80000,1.3624826669692993
