value_loss,explained_variance,total_timesteps,policy_entropy,nupdates,fps
5.042196335125482e-06,-0.395068883895874,3240000,2.8903679847717285,40500,1731
5.5007540140650235e-06,-1.1743552684783936,3248000,2.8903675079345703,40600,1731
8.45345675770659e-06,-1.1574382781982422,3256000,2.890367031097412,40700,1731
8.925018846639432e-06,-5.591190338134766,3264000,2.890366792678833,40800,1731
5.874154794582864e-06,-1.0987639427185059,3272000,2.890366554260254,40900,1731
7.270146852533799e-06,-0.5435516834259033,3280000,2.890366315841675,41000,1731
9.05809247342404e-06,-0.8356829881668091,3288000,2.8903675079345703,41100,1731
8.194064321287442e-06,-0.8160967826843262,3296000,2.890367031097412,41200,1731
1.1934785106859636e-05,-2.162381410598755,3304000,2.8903660774230957,41300,1731
7.193139936134685e-06,-0.7874983549118042,3312000,2.8903448581695557,41400,1731
4.7347407416964415e-06,-2.1394925117492676,3320000,2.890348434448242,41500,1731
5.9735257309512235e-06,-1.7672967910766602,3328000,2.890352249145508,41600,1731
6.1312471189012285e-06,-0.6819761991500854,3336000,2.8903560638427734,41700,1730
4.431856268638512e-06,-0.7858490943908691,3344000,2.890352725982666,41800,1730
6.190742624312406e-06,-1.0543925762176514,3352000,2.890354633331299,41900,1731
6.9483003244386055e-06,-1.0097153186798096,3360000,2.8903565406799316,42000,1730
5.425613380793948e-06,-1.0583274364471436,3368000,2.8903584480285645,42100,1730
8.251854524132796e-06,-1.7149415016174316,3376000,2.89035964012146,42200,1730
6.451434273913037e-06,-1.654754400253296,3384000,2.8903627395629883,42300,1731
8.82008043845417e-06,-0.6791136264801025,3392000,2.890361785888672,42400,1731
5.851170044479659e-06,-0.06931567192077637,3400000,2.8903610706329346,42500,1731
4.111003818252357e-06,-1.8571064472198486,3408000,2.890362501144409,42600,1731
3.7155746213102248e-06,-0.6142144203186035,3416000,2.8903632164001465,42700,1731
7.416711014229804e-06,-0.9599390029907227,3424000,2.89035964012146,42800,1731
1.3169317753636278e-05,-2.1692354679107666,3432000,2.8903603553771973,42900,1731
4.7808780436753295e-06,-0.8943833112716675,3440000,2.890360116958618,43000,1731
3.7195254662947264e-06,-0.18911468982696533,3448000,2.8903632164001465,43100,1731
6.59231318422826e-06,-7.794304847717285,3456000,2.8903629779815674,43200,1731
7.3210831033065915e-06,-1.3493461608886719,3464000,2.890364170074463,43300,1731
1.0043678230431397e-05,-0.28913068771362305,3472000,2.8903648853302,43400,1731
4.972879651177209e-06,-1.2278761863708496,3480000,2.890364408493042,43500,1731
8.043169145821594e-06,-1.5364525318145752,3488000,2.8903656005859375,43600,1731
8.195973350666463e-06,0.026319444179534912,3496000,2.8903656005859375,43700,1731
5.515627435670467e-06,-1.5058605670928955,3504000,2.8903656005859375,43800,1731
6.960635801078752e-06,-0.877885103225708,3512000,2.890366554260254,43900,1731
6.068658876756672e-06,-0.3196369409561157,3520000,2.890367031097412,44000,1731
5.257134034764022e-06,-1.7071866989135742,3528000,2.890367031097412,44100,1731
7.1731265052221715e-06,-1.5430676937103271,3536000,2.8903660774230957,44200,1731
4.4389839786163066e-06,-0.8726159334182739,3544000,2.890366792678833,44300,1731
4.173388788331067e-06,-0.543891191482544,3552000,2.890364646911621,44400,1731
7.29333487470285e-06,-0.7763010263442993,3560000,2.8903660774230957,44500,1731
8.153563612722792e-06,-1.1493520736694336,3568000,2.8903656005859375,44600,1731
