mean 100 episode reward,% time spent exploring,steps,episodes
5.2,1,7577802,32700
4.3,1,7599076,32800
4.6,1,7621229,32900
4.2,1,7643291,33000
4.3,1,7663090,33100
4.4,1,7682001,33200
4.4,1,7702849,33300
5.1,1,7724528,33400
5.1,1,7747921,33500
4.0,1,7767861,33600
5.1,1,7790561,33700
4.6,1,7812992,33800
4.4,1,7834253,33900
4.5,1,7856776,34000
4.7,1,7878580,34100
4.6,1,7900385,34200
4.2,1,7921815,34300
4.0,1,7941332,34400
4.3,1,7963798,34500
4.8,1,7984279,34600
4.4,1,8004153,34700
4.9,1,8024635,34800
4.4,1,8045228,34900
4.6,1,8067112,35000
4.8,1,8088627,35100
4.3,1,8109210,35200
4.2,1,8128645,35300
4.4,1,8148570,35400
4.9,1,8169942,35500
4.6,1,8191768,35600
3.9,1,8210534,35700
4.6,1,8234088,35800
4.6,1,8255118,35900
4.0,1,8274492,36000
4.5,1,8295037,36100
5.4,1,8316862,36200
4.6,1,8338493,36300
4.4,1,8359301,36400
4.2,1,8379744,36500
4.2,1,8399262,36600
4.2,1,8420098,36700
4.4,1,8441376,36800
4.6,1,8463822,36900
3.9,1,8483501,37000
4.4,1,8505995,37100
4.3,1,8525752,37200
4.4,1,8546709,37300
4.5,1,8568306,37400
4.7,1,8591992,37500
4.5,1,8613942,37600
4.6,1,8635210,37700
4.3,1,8656734,37800
5.0,1,8680398,37900
4.6,1,8703234,38000
4.1,1,8724762,38100
4.8,1,8748453,38200
4.8,1,8772283,38300
5.2,1,8797433,38400
5.0,1,8820363,38500
4.7,1,8841810,38600
6.0,1,8868472,38700
5.0,1,8891653,38800
4.8,1,8914549,38900
6.4,1,8943377,39000
5.8,1,8967186,39100
4.6,1,8988045,39200
5.8,1,9014756,39300
4.6,1,9035422,39400
5.6,1,9061262,39500
5.0,1,9086188,39600
5.5,1,9111023,39700
5.6,1,9136307,39800
5.2,1,9160722,39900
6.2,1,9189190,40000
5.3,1,9215159,40100
5.5,1,9240789,40200
6.0,1,9267298,40300
5.5,1,9293169,40400
5.7,1,9319673,40500
5.5,1,9344287,40600
6.5,1,9370982,40700
5.8,1,9398033,40800
6.6,1,9426477,40900
5.4,1,9452862,41000
6.4,1,9480813,41100
5.6,1,9506951,41200
5.5,1,9534153,41300
6.5,1,9561986,41400
5.6,1,9587181,41500
5.6,1,9613281,41600
5.7,1,9637991,41700
6.0,1,9665059,41800
6.4,1,9693416,41900
6.6,1,9722538,42000
6.4,1,9751940,42100
6.3,1,9778747,42200
5.6,1,9804471,42300
6.0,1,9831525,42400
6.7,1,9860344,42500
5.7,1,9885859,42600
7.0,1,9916873,42700
6.7,1,9945016,42800
6.2,1,9971364,42900
6.0,1,9997349,43000
