nupdates,explained_variance,value_loss,fps,policy_entropy,total_timesteps,avg reward
50300,-0.3482168912887573,3376.15380859375,1931,0.0,4024000,-1112.540517425537
50400,0.8444274812936783,13960.232421875,1931,0.0,4032000,3875.0148956298826
50500,0.790479302406311,6473.26171875,1931,0.0,4040000,3434.1264038085938
50600,0.9458737894892693,7552.3603515625,1931,0.0,4048000,2829.6525283813476
50700,0.8990942537784576,14242.548828125,1931,0.0,4056000,4815.751123046875
50800,0.8561277687549591,23442.8203125,1931,0.0,4064000,-4610.887115478516
50900,0.06190645694732666,927431.875,1931,0.0,4072000,-4875.07822265625
51000,-0.06701409816741943,740390.1875,1931,0.0,4080000,-4072.2682708740235
51100,0.6506613194942474,19628.41796875,1931,0.0,4088000,-4410.96630859375
51200,-0.11497044563293457,15823.4033203125,1931,0.0,4096000,-653.0905578613281
51300,-3.0616378784179688,184580.09375,1931,0.0,4104000,-5766.558856201172
51400,0.10279405117034912,1140884.875,1931,0.0,4112000,5716.71979675293
51500,0.0011613965034484863,15243.1044921875,1931,0.0,4120000,1015.367204284668
51600,0.7636428326368332,12750.7451171875,1931,0.0,4128000,-3562.3529052734375
51700,0.8751559183001518,484.5572814941406,1931,0.0,4136000,700.1000312805176
51800,0.7739176601171494,12261.572265625,1931,0.0,4144000,-3115.171630859375
51900,0.9620594531297684,981.0403442382812,1931,0.0,4152000,-1203.826463317871
52000,0.2052760124206543,4469.39599609375,1931,0.0,4160000,633.0118312835693
52100,0.8820754438638687,5465.97900390625,1931,0.0,4168000,3355.760647583008
52200,0.032267093658447266,240851.578125,1931,0.0,4176000,3230.3529693603514
52300,-0.4135873317718506,819319.9375,1931,0.0,4184000,-5232.1970886230465
52400,0.22057664394378662,1076548.25,1931,0.0,4192000,-5675.819879150391
52500,0.9219762682914734,9533.701171875,1931,0.0,4200000,-4115.4503173828125
52600,0.6604414880275726,793.49462890625,1931,0.0,4208000,-539.8190593719482
52700,0.15277767181396484,93148.4296875,1930,0.0,4216000,1761.402003479004
52800,0.8783668205142021,12361.9794921875,1931,0.0,4224000,4023.1137145996095
52900,0.30998170375823975,977163.375,1931,0.0,4232000,-3899.9805236816405
53000,0.8422538042068481,6444.65625,1931,0.0,4240000,-2320.8082275390625
53100,-0.23443257808685303,431307.15625,1931,0.0,4248000,4683.735028076172
53200,0.9546144492924213,791.6121826171875,1931,0.0,4256000,-1103.3427558898925
53300,0.044660329818725586,1946475.625,1931,0.0,4264000,-5027.8314453125
53400,0.9189692214131355,43.757781982421875,1931,6.042098765757231e-11,4272000,71.08711985349655
53500,0.9132599383592606,5214.5068359375,1931,0.0,4280000,-2493.5499588012694
53600,0.6323228478431702,96818.84375,1931,0.0,4288000,-8883.828045654296
53700,0.8740942776203156,38698.6953125,1931,0.0,4296000,-5965.173321533203
53800,-0.25247180461883545,82463.734375,1931,0.0,4304000,5782.177685546875
53900,0.9023822322487831,89.60475158691406,1931,0.0,4312000,316.8443841934204
54000,0.78440822660923,23834.62109375,1931,0.0,4320000,-6371.874291992188
54100,0.00491178035736084,1239774.625,1931,0.0,4328000,-6021.458639526367
54200,0.8292391151189804,39528.65625,1931,0.0,4336000,6346.651702880859
54300,0.07475841045379639,1508737.0,1931,0.0,4344000,-6272.4967041015625
54400,0.7217622101306915,14975.3544921875,1931,0.0,4352000,-3801.1046813964845
54500,-0.6448376178741455,903689.5,1931,0.0,4360000,-6068.998406982422
54600,-0.4782905578613281,786966.375,1931,0.0,4368000,5705.456866455078
54700,-3.7062625885009766,79097.890625,1931,0.0,4376000,-3739.7377868652343
54800,0.8901301026344299,129.98635864257812,1931,0.0,4384000,-262.4179166793823
54900,-0.053630948066711426,281600.9375,1931,0.0,4392000,-2390.0065216064454
55000,0.89924206584692,72660.171875,1931,0.0,4400000,-7014.240435791015
55100,-1.7672827243804932,18820.609375,1930,0.0,4408000,1404.9427703857423
55200,0.39096641540527344,1395282.375,1931,0.0,4416000,-7845.428576660156
55300,0.8182923942804337,8098.1474609375,1931,0.0,4424000,-2839.9019927978516
55400,0.8116137385368347,327.1803894042969,1931,0.0,4432000,662.41488571167
55500,0.40582364797592163,132853.890625,1931,0.0,4440000,-7001.55199584961
55600,0.7497709691524506,23800.01953125,1931,0.0,4448000,4970.299859619141
55700,0.9068719744682312,19643.90234375,1931,0.0,4456000,-5089.940576171875
55800,0.9525170288980007,2206.133056640625,1931,0.0,4464000,-2042.9877319335938
55900,0.9370462521910667,2852.14892578125,1931,0.0,4472000,-1839.5484680175782
56000,-1.2384157180786133,310053.8125,1931,0.0,4480000,6623.993103027344
