Bayesian
Episode Number, Mean Reward, Total Steps, e
7200,20.16,160370
7300,22.69,162639
7400,21.4,164779
7500,23.47,167126
7600,23.14,169440
7700,24.27,171867
7800,20.81,173948
7900,22.15,176163
8000,23.17,178480
8100,20.96,180576
8200,22.57,182833
8300,21.37,184970
8400,21.29,187099
8500,21.68,189267
8600,22.02,191469
8700,22.94,193763
8800,22.27,195990
8900,22.72,198262
9000,23.64,200626
9100,23.65,202991
9200,20.64,205055
9300,22.42,207297
9400,21.39,209436
9500,22.17,211653
9600,23.34,213987
9700,21.65,216152
9800,21.95,218347
9900,22.5,220597


Random 

100,8.98,907
200,8.94,1801
300,9.02,2703
400,8.94,3597
500,9.03,4500
600,8.94,5394
700,8.88,6282
800,9.09,7191
900,8.94,8085
1000,8.93,8978
1100,9.0,9878
1200,8.95,10773
1300,8.98,11671
1400,9.0,12571
1500,8.86,13457
1600,8.89,14346
1700,8.97,15243
1800,8.9,16133
1900,9.03,17036
2000,8.85,17921
2100,8.88,18809
2200,8.96,19705
2300,8.88,20593
2400,9.01,21494
2500,8.85,22379
2600,8.91,23270
2700,8.97,24167
2800,8.94,25061
2900,8.82,25943
3000,8.95,26838
3100,8.94,27732
3200,8.95,28627
3300,8.92,29519
3400,8.94,30413
3500,8.95,31308
3600,8.96,32204
3700,8.84,33088
3800,8.92,33980
3900,8.97,34877
4000,8.93,35770
4100,8.99,36669
4200,9.08,37577
4300,8.95,38472
4400,9.01,39373
4500,8.88,40261
4600,8.91,41152
4700,8.95,42047
4800,8.93,42940
4900,8.98,43838
5000,9.03,44741
5100,8.96,45637
5200,8.97,46534
5300,8.9,47424
5400,9.04,48328
5500,9.03,49231
5600,8.97,50128
5700,8.98,51026
5800,9.07,51933
5900,9.14,52847
6000,9.07,53754
6100,9.23,54677
6200,9.15,55592
6300,9.13,56505
6400,9.18,57423
6500,9.13,58336
6600,9.26,59262
6700,9.24,60186
6800,9.19,61105
6900,9.12,62017
7000,9.19,62936
7100,9.15,63851
7200,9.31,64782
7300,9.25,65707
7400,9.17,66624
7500,9.2,67544
7600,9.2,68464
7700,9.21,69385
7800,9.22,70307
7900,9.18,71225
8000,9.21,72146
8100,9.24,73070
8200,9.26,73996
8300,9.36,74932
8400,9.3,75862
8500,9.45,76807
8600,9.16,77723
8700,9.35,78658
8800,9.31,79589
8900,9.22,80511
9000,9.12,81423
9100,9.18,82341
9200,9.31,83272
9300,9.3,84202
9400,9.26,85128
9500,9.23,86051
9600,9.41,86992
9700,9.28,87920
9800,9.24,88844
9900,9.23,89767

