nupdates,policy_entropy,total_timesteps,fps,explained_variance,value_loss
51500,2.890366315841675,4120000,1725,-1.0144891738891602,5.329106897988822e-06
51600,2.8903660774230957,4128000,1725,0.18611884117126465,2.5990534595621284e-06
51700,2.890366554260254,4136000,1725,-0.5407273769378662,5.8975851970899384e-06
51800,2.8903651237487793,4144000,1725,-1.7890076637268066,3.408313205000013e-06
51900,2.890364408493042,4152000,1725,-2.3391358852386475,5.711509402317461e-06
52000,2.8903634548187256,4160000,1725,-1.1987099647521973,2.239401055703638e-06
52100,2.8903629779815674,4168000,1725,-1.8987600803375244,5.208131369727198e-06
52200,2.8903648853302,4176000,1725,-0.8872661590576172,3.0507735573337413e-06
52300,2.8903627395629883,4184000,1725,-0.8193552494049072,3.3112660275946837e-06
52400,2.8903656005859375,4192000,1725,-1.7030951976776123,4.6512045628333e-06
52500,2.8903658390045166,4200000,1725,-0.8599908351898193,3.4851732380047906e-06
52600,2.8903651237487793,4208000,1725,-0.5803654193878174,3.401399681024486e-06
52700,2.890364408493042,4216000,1725,-0.12543094158172607,3.1637362098990707e-06
52800,2.8903651237487793,4224000,1725,-1.0326969623565674,5.49089781998191e-06
52900,2.890366315841675,4232000,1725,-1.2074434757232666,4.345326033217134e-06
53000,2.890364170074463,4240000,1725,-1.4309751987457275,4.022229404654354e-06
53100,2.890363931655884,4248000,1725,-1.7163975238800049,6.406195552699501e-06
53200,2.8903629779815674,4256000,1725,-0.36027824878692627,2.418916210444877e-06
53300,2.8903632164001465,4264000,1725,-1.0808417797088623,3.0990559025667608e-06
53400,2.8903636932373047,4272000,1725,0.03778719902038574,3.2590091905149166e-06
53500,2.890363931655884,4280000,1725,-0.49381232261657715,6.434780516428873e-06
53600,2.8903281688690186,4288000,1725,0.25441116094589233,3.98264000978088e-06
53700,2.8903374671936035,4296000,1725,-0.20950448513031006,4.273525519238319e-06
53800,2.890336513519287,4304000,1725,-0.6966379880905151,4.20855076299631e-06
53900,2.890340566635132,4312000,1725,-0.9334933757781982,3.6426354199647903e-06
54000,2.8903443813323975,4320000,1725,-0.8656145334243774,4.250100118952105e-06
54100,2.8903331756591797,4328000,1725,-0.4302349090576172,4.370152055344079e-06
54200,2.89033842086792,4336000,1725,-0.809412956237793,6.269577170314733e-06
54300,2.8903415203094482,4344000,1725,-1.1915974617004395,3.308282657599193e-06
54400,2.8903446197509766,4352000,1725,-0.2048025131225586,4.611470103554893e-06
54500,2.8903465270996094,4360000,1725,-0.11258924007415771,2.893099690481904e-06
54600,2.8903489112854004,4368000,1725,-1.6792256832122803,5.85059615332284e-06
54700,2.890350818634033,4376000,1725,-0.19623005390167236,4.39570476373774e-06
54800,2.890352725982666,4384000,1725,-0.29720771312713623,6.7057699197903275e-06
54900,2.890353202819824,4392000,1725,-0.6292256116867065,3.96614723285893e-06
55000,2.890357255935669,4400000,1725,-0.8480952978134155,5.478629645949695e-06
55100,2.8903579711914062,4408000,1724,-0.6187843084335327,4.243810053594643e-06
55200,2.8903591632843018,4416000,1724,-0.3750908374786377,5.062360742158489e-06
55300,2.8903610706329346,4424000,1724,-1.2090706825256348,3.254517650930211e-06
55400,2.8903629779815674,4432000,1724,-0.5311154127120972,3.9529868445242755e-06
55500,2.8903632164001465,4440000,1724,-0.6552841663360596,3.860391188936774e-06
55600,2.8903632164001465,4448000,1724,-0.4938051700592041,2.9768466447421815e-06
55700,2.890363931655884,4456000,1724,-0.1670757532119751,3.3466180866525974e-06
55800,2.890362024307251,4464000,1724,-0.9897509813308716,4.869330496148905e-06
55900,2.8903632164001465,4472000,1724,-0.7908622026443481,6.90208753439947e-06
56000,2.8903632164001465,4480000,1724,-1.3935520648956299,4.052400072396267e-06
56100,2.890364170074463,4488000,1724,-0.9849646091461182,4.309182259021327e-06
56200,2.89036226272583,4496000,1724,-0.2793186902999878,5.670630798704224e-06
56300,2.890362024307251,4504000,1724,-0.7662398815155029,5.12103679284337e-06
56400,2.890362501144409,4512000,1724,-1.3971331119537354,5.687376869900618e-06
56500,2.8903632164001465,4520000,1724,-0.7943134307861328,2.4944852157204878e-06
56600,2.8903629779815674,4528000,1724,-1.5554702281951904,2.27490090765059e-06
56700,2.8903660774230957,4536000,1724,-0.49857044219970703,4.829788849747274e-06
56800,2.890366792678833,4544000,1724,-1.574021577835083,3.846455911116209e-06
56900,2.8903653621673584,4552000,1724,-0.27692997455596924,2.799667754516122e-06
57000,2.8903675079345703,4560000,1724,-1.1984474658966064,2.130994971594191e-06
57100,2.8903422355651855,4568000,1724,-3.6413636207580566,7.075163011904806e-06
57200,2.8903427124023438,4576000,1724,-0.6507562398910522,3.0285123102657963e-06
57300,2.890346050262451,4584000,1724,-1.3032898902893066,5.705880994355539e-06
57400,2.8903496265411377,4592000,1724,-1.2490551471710205,3.0721216717211064e-06
57500,2.890350580215454,4600000,1724,-2.087646484375,3.4577133192215115e-06
57600,2.8903515338897705,4608000,1724,-0.4399775266647339,3.909039605787257e-06
57700,2.890352487564087,4616000,1724,-0.6616222858428955,3.4421420878061326e-06
57800,2.8903510570526123,4624000,1724,-1.9559082984924316,2.908963324443903e-06
