value_loss,total_timesteps,fps,policy_entropy,nupdates,explained_variance
0.06868502497673035,7456000,1576,0.9880458116531372,93200,0.5231258869171143
0.008234705775976181,7464000,1576,0.9799816012382507,93300,0.7689024806022644
0.018702158704400063,7472000,1577,0.9873781204223633,93400,0.7813246846199036
0.09025663137435913,7480000,1577,1.0026233196258545,93500,0.9767805803567171
0.028651490807533264,7488000,1577,1.0434184074401855,93600,0.2589544653892517
0.009063982404768467,7496000,1577,0.9110878705978394,93700,0.850007176399231
0.09437057375907898,7504000,1578,0.9055444002151489,93800,0.5718781352043152
0.05571063607931137,7512000,1578,0.9578460454940796,93900,0.88752481341362
0.048259343951940536,7520000,1578,0.9315735101699829,94000,0.9794938545674086
0.014030116610229015,7528000,1579,1.0455337762832642,94100,0.6546658277511597
0.009779712185263634,7536000,1579,0.966697096824646,94200,0.7762677073478699
0.039629314094781876,7544000,1579,0.9126137495040894,94300,0.31671464443206787
0.029833460226655006,7552000,1580,1.0299360752105713,94400,0.466874361038208
0.007242895662784576,7560000,1580,0.9792852401733398,94500,0.7870076298713684
0.006602800451219082,7568000,1580,0.8693403005599976,94600,0.9496458694338799
0.01607155054807663,7576000,1581,0.9903477430343628,94700,0.7183505892753601
0.01271972618997097,7584000,1581,0.9641883969306946,94800,0.7037816047668457
0.13952696323394775,7592000,1581,0.838300883769989,94900,0.18927907943725586
0.07592077553272247,7600000,1582,0.9393576383590698,95000,0.548283576965332
0.008486264385282993,7608000,1582,1.003032922744751,95100,0.8733449727296829
0.007299298886209726,7616000,1582,1.0734665393829346,95200,0.7749180197715759
0.017320161685347557,7624000,1583,0.9817788004875183,95300,0.8883498683571815
0.00832713209092617,7632000,1583,0.9512869119644165,95400,0.8398506343364716
0.009066388010978699,7640000,1583,1.0208773612976074,95500,0.7904706746339798
0.013123547658324242,7648000,1583,1.027072787284851,95600,0.7847290933132172
0.09022022783756256,7656000,1584,0.9928476214408875,95700,0.7663780897855759
0.010908856987953186,7664000,1584,1.0056302547454834,95800,0.7935231626033783
0.015954235568642616,7672000,1584,1.0148518085479736,95900,0.7651460617780685
