fps,policy_entropy,nupdates,explained_variance,value_loss,total_timesteps,learning rate,avg reward
1731,2.8903656005859375,68300,-0.5951242446899414,1.8393427581031574e-06,5464000,0.001,-0.0005740519270602817
1731,2.8903651237487793,68400,0.3757559657096863,7.643061508133542e-07,5472000,0.001,-0.00019102394885521788
1731,2.8903656005859375,68500,-0.44167065620422363,1.0163239494431764e-06,5480000,0.001,0.0004910967676323708
1731,2.8903656005859375,68600,-0.1154942512512207,6.842979587418085e-07,5488000,0.001,0.000715792058599618
1731,2.8903660774230957,68700,-0.4444693326950073,1.160904616881453e-06,5496000,0.001,0.0010898274827013665
1731,2.8903660774230957,68800,-0.46427977085113525,2.455238018228556e-06,5504000,0.001,0.0009616997620241818
1731,2.890366315841675,68900,-2.8077163696289062,2.3051584321365226e-06,5512000,0.001,-7.287220960279228e-05
1731,2.890367031097412,69000,-0.05305361747741699,1.476447891946009e-06,5520000,0.001,-0.00014211270497526128
1731,2.8903675079345703,69100,-2.312053918838501,1.718067551337299e-06,5528000,0.001,0.0014982734041041113
1731,2.8903675079345703,69200,-1.004103660583496,1.1325881814627792e-06,5536000,0.001,0.0012320243055910396
1732,2.8903679847717285,69300,-1.9289922714233398,1.0948417639156105e-06,5544000,0.001,0.00028012086904709576
1731,2.8903682231903076,69400,-0.21704721450805664,1.7630256934353383e-06,5552000,0.001,0.0025794053479330616
1732,2.8903682231903076,69500,-2.2347848415374756,1.324515665146464e-06,5560000,0.001,0.00030110569466614836
1732,2.8903679847717285,69600,-5.251203536987305,1.1977330132140196e-06,5568000,0.001,0.0006995052946194846
1732,2.8903684616088867,69700,-5.748131275177002,1.6249638292720192e-06,5576000,0.001,-0.0014740744608388924
1732,2.8903682231903076,69800,-0.9658209085464478,1.4644940620200941e-06,5584000,0.001,7.889926982898032e-05
1732,2.890368700027466,69900,-0.3028632402420044,7.997487045940943e-07,5592000,0.001,-0.00012117514615965775
1732,2.890368938446045,70000,-0.8603456020355225,1.5136993170017377e-06,5600000,0.001,0.0007575211205221421
1732,2.890368938446045,70100,-0.3184077739715576,1.3209241842560004e-06,5608000,0.001,0.000487337690719869
1732,2.890368700027466,70200,0.07892882823944092,1.0682737183742574e-06,5616000,0.001,-0.00013310759286468964
1732,2.8903679847717285,70300,-0.30868494510650635,9.458660201744351e-07,5624000,0.001,-0.0005395884378629034
1732,2.890368700027466,70400,-0.19575750827789307,1.7200757156388136e-06,5632000,0.001,0.00040680118991076597
1732,2.890368938446045,70500,-1.1305210590362549,2.2106362393969903e-06,5640000,0.001,0.002063582878690795
1732,2.890369176864624,70600,-0.7086596488952637,2.5996655494964216e-06,5648000,0.001,0.0013623145210658548
1732,2.890368700027466,70700,-0.6295270919799805,1.4868171547277598e-06,5656000,0.001,-0.001302600018425437
1732,2.890369415283203,70800,-0.3558129072189331,1.1566245348149096e-06,5664000,0.001,-0.0004432001396708074
1732,2.890368938446045,70900,-0.7113355398178101,1.607223794053425e-06,5672000,0.001,0.00046853147166530106
1732,2.890369176864624,71000,-0.5598927736282349,1.6133674307639012e-06,5680000,0.001,-0.00023730284701741766
