episodes,mean 100 episode reward,% time spent exploring,steps
48800,9.0,1,14030884
48900,8.7,1,14060660
49000,9.1,1,14091482
49100,9.0,1,14121805
49200,10.1,1,14154990
49300,9.5,1,14188032
49400,11.6,1,14225293
49500,9.8,1,14259024
49600,9.1,1,14291495
49700,9.2,1,14324706
49800,9.3,1,14358924
49900,9.5,1,14392650
50000,10.7,1,14426147
50100,8.9,1,14458638
50200,10.2,1,14494402
50300,9.9,1,14527923
50400,8.6,1,14558991
50500,10.8,1,14598281
50600,12.6,1,14639993
50700,10.5,1,14673539
50800,9.2,1,14704842
50900,9.2,1,14734416
51000,7.9,1,14761291
51100,8.6,1,14790172
51200,8.7,1,14820917
51300,8.6,1,14851747
51400,8.0,1,14881260
51500,8.3,1,14910066
51600,9.5,1,14943576
51700,10.5,1,14976919
51800,11.1,1,15013971
51900,11.2,1,15052419
52000,8.9,1,15082477
52100,9.1,1,15115080
52200,9.3,1,15146433
52300,10.5,1,15182251
52400,9.5,1,15215587
52500,9.7,1,15247774
52600,12.3,1,15286784
52700,9.6,1,15320992
52800,10.7,1,15357524
52900,10.0,1,15392240
53000,9.9,1,15424675
53100,9.0,1,15455384
53200,9.6,1,15487250
53300,9.1,1,15520129
53400,8.0,1,15548255
53500,9.9,1,15580732
53600,9.2,1,15611968
53700,9.0,1,15642896
53800,9.4,1,15676202
53900,9.9,1,15710089
54000,10.5,1,15743777
54100,9.5,1,15780176
54200,10.5,1,15816657
54300,12.2,1,15852974
54400,10.4,1,15885553
54500,13.2,1,15925222
54600,12.8,1,15964030
54700,14.5,1,16006871
54800,14.2,1,16048812
54900,15.5,1,16096329
55000,15.6,1,16143116
55100,14.4,1,16186034
55200,15.2,1,16231112
55300,18.8,1,16282640
55400,16.2,1,16329439
55500,14.8,1,16375805
55600,14.5,1,16421356
55700,13.7,1,16460461
55800,14.5,1,16504970
55900,13.4,1,16550135
56000,11.6,1,16586917
56100,13.3,1,16631690
56200,13.7,1,16674252
56300,11.8,1,16713855
56400,10.5,1,16749919
56500,9.1,1,16780568
56600,10.5,1,16815417
56700,10.4,1,16851201
56800,11.5,1,16890010
56900,10.9,1,16922931
57000,11.7,1,16961116
57100,10.5,1,16998130
57200,10.3,1,17033476
57300,8.8,1,17064740
57400,9.9,1,17100096
57500,11.2,1,17138231
57600,10.6,1,17173086
57700,10.0,1,17208000
57800,10.5,1,17244252
57900,12.2,1,17282375
58000,8.9,1,17309554
58100,9.3,1,17340575
58200,10.4,1,17372996
58300,12.3,1,17410833
58400,10.2,1,17443272
58500,10.4,1,17476208
58600,9.5,1,17507555
58700,11.7,1,17546609
58800,10.9,1,17583006
58900,8.6,1,17610921
59000,11.0,1,17646406
59100,11.2,1,17683689
59200,9.2,1,17717768
59300,10.9,1,17755523
59400,12.5,1,17796009
59500,10.6,1,17831724
59600,10.0,1,17866391
59700,10.6,1,17899719
59800,10.7,1,17933401
59900,10.8,1,17967089
60000,10.2,1,17997606
60100,13.4,1,18037947
60200,11.4,1,18073735
60300,10.5,1,18107024
60400,11.0,1,18139841
60500,10.6,1,18172175
60600,13.4,1,18210824
60700,13.1,1,18251762
60800,9.8,1,18282747
60900,9.3,1,18313140
61000,10.4,1,18344264
61100,11.7,1,18380913
61200,12.2,1,18418963
61300,10.6,1,18453801
61400,10.9,1,18491407
61500,12.5,1,18528584
61600,13.8,1,18570034
61700,13.5,1,18610178
61800,11.8,1,18646615
61900,13.3,1,18687146
62000,12.4,1,18726763
62100,10.2,1,18763407
62200,10.7,1,18799864
62300,11.6,1,18839876
62400,11.3,1,18879957
62500,10.1,1,18916048
62600,11.1,1,18957587
62700,11.2,1,18996429
62800,9.4,1,19026806
62900,9.8,1,19058844
63000,12.0,1,19093073
63100,12.9,1,19131557
63200,11.8,1,19166954
63300,11.3,1,19200010
63400,12.6,1,19239459
63500,13.0,1,19280155
63600,11.2,1,19315703
63700,11.3,1,19353055
63800,13.6,1,19395572
63900,11.6,1,19434796
64000,10.5,1,19471462
64100,11.0,1,19509462
64200,10.2,1,19543248
64300,11.6,1,19582493
64400,11.6,1,19620952
64500,12.6,1,19659332
64600,11.7,1,19695621
64700,12.8,1,19736452
64800,12.0,1,19776091
64900,11.6,1,19811453
65000,11.7,1,19848535
65100,11.8,1,19884190
