policy_entropy,explained_variance,total_timesteps,fps,nupdates,value_loss,avg reward
0.0,0.011955797672271729,5600000,1580,70000,10490.990234375,525.7303970336914
0.0,-0.38190579414367676,5608000,1580,70100,68343.5234375,-820.8515209197998
0.0,0.1904228925704956,5616000,1580,70200,358.5079650878906,800.1494575500489
0.0,0.9126867651939392,5624000,1580,70300,0.6673020124435425,20.96755555868149
0.0,-1.3825311660766602,5632000,1580,70400,47226.26953125,865.9500297546386
0.0,-0.014580965042114258,5640000,1580,70500,725.3303833007812,-93.12360634803773
0.0,-3.2934165000915527,5648000,1581,70600,26292.693359375,-969.5931144714356
0.0,0.6630754172801971,5656000,1581,70700,20.06599998474121,-196.27653369903564
0.0,0.6527087092399597,5664000,1581,70800,5.463995933532715,84.21350259780884
0.0,-0.13611316680908203,5672000,1581,70900,2567.28369140625,186.5824291229248
0.0,-0.5202858448028564,5680000,1581,71000,34864.7578125,-792.9253143310547
0.0,-58.625640869140625,5688000,1581,71100,14627.650390625,-1185.0346786499024
0.0,-0.008799552917480469,5696000,1580,71200,13976.109375,600.636629486084
0.0,-0.9587442874908447,5704000,1581,71300,3031.6474609375,-265.8365085601807
0.0,-0.5868289470672607,5712000,1581,71400,36720.2109375,-705.794241142273
0.0,-32.634910583496094,5720000,1581,71500,3252.11083984375,-779.9276512145996
0.0,-0.007890462875366211,5728000,1581,71600,13318.5654296875,462.60704469680786
0.0,-0.15634667873382568,5736000,1581,71700,4700.3525390625,-417.4111274719238
0.0,-76.64871978759766,5744000,1581,71800,2082.12060546875,377.74248428344725
0.0,-1.9349415302276611,5752000,1581,71900,44046.1171875,1074.8422561645507
0.0,-0.436704158782959,5760000,1582,72000,65671.9609375,1139.1905960083009
0.0,0.1112942099571228,5768000,1582,72100,2376.339599609375,277.61036772727965
0.0,-0.04678499698638916,5776000,1582,72200,97491.3671875,1240.921778869629
0.0,0.48743414878845215,5784000,1582,72300,24.955591201782227,213.16180171966553
0.0,0.03683674335479736,5792000,1582,72400,95763.3515625,1102.5662200927734
0.0,0.25806087255477905,5800000,1582,72500,8.44980525970459,-12.268406814336776
0.0,-42.07545471191406,5808000,1582,72600,2546.069580078125,-467.7932834625244
0.0,-0.4380910396575928,5816000,1582,72700,20554.14453125,637.4516761779785
0.0,0.6013846099376678,5824000,1582,72800,12.17094612121582,134.08150215148925
0.0,-0.39484846591949463,5832000,1582,72900,33245.3984375,-1038.5668495178222
0.0,0.009669065475463867,5840000,1582,73000,80327.546875,1452.655010986328
0.0,-0.473219633102417,5848000,1582,73100,102893.453125,1494.9256732940673
0.0,-0.21801936626434326,5856000,1582,73200,354074.84375,1963.6862823486329
0.0,-0.9324731826782227,5864000,1582,73300,15640.251953125,-783.0224723815918
