total_timesteps,nupdates,fps,policy_entropy,value_loss,avgReward,explained_variance
1080000,13500,903,1.3590747117996216,0.00435918802395463,0.24718313955236226,0.9488663449883461
1088000,13600,903,1.36240553855896,0.0010006297379732132,0.17914677610388025,0.983306284993887
1096000,13700,903,1.3555266857147217,0.0016155980993062258,0.21567397368053207,0.976323401555419
1104000,13800,903,1.3383532762527466,0.0006533687701448798,0.5838435507175745,0.9960336335934699
1112000,13900,903,1.342919945716858,0.0034298724494874477,0.4188783548772335,0.9762095641344786
1120000,14000,903,1.3503296375274658,0.002448714803904295,0.3687254334334284,0.9776374660432339
1128000,14100,903,1.3536403179168701,0.0009982675546780229,0.3279428583511617,0.9897945998236537
1136000,14200,904,1.3498986959457397,0.0011363242520019412,0.4309499901602976,0.9909683270379901
1144000,14300,903,1.3515541553497314,0.0015205057570710778,0.4581136231543496,0.9868075549602509
1152000,14400,903,1.3516777753829956,0.0003088122175540775,0.29615488433046266,0.9974366426467896
1160000,14500,903,1.3435933589935303,0.012535731308162212,0.4531564588367473,0.9023598432540894
1168000,14600,903,1.3567149639129639,0.0005370019352994859,0.2247356165666133,0.9955797651782632
1176000,14700,904,1.3484532833099365,0.0008932131459005177,0.40263028962071984,0.9940340286120772
1184000,14800,904,1.3619577884674072,0.00025878119049593806,0.16349710151844193,0.9962054372299463
1192000,14900,904,1.3571443557739258,0.006778644863516092,0.4562752071535215,0.9475499950349331
1200000,15000,904,1.3475300073623657,0.000772986386436969,0.5467974364291877,0.996252573793754
1208000,15100,904,1.359071135520935,0.008737592026591301,0.21112314322963358,0.9098569080233574
1216000,15200,904,1.3546720743179321,0.006476752460002899,0.454861029679887,0.9608665443956852
1224000,15300,904,1.365099310874939,0.0027234128210693598,0.2426246893359348,0.9538468420505524
1232000,15400,904,1.365802526473999,0.015191319398581982,0.2983028197006206,0.8051689714193344
1240000,15500,904,1.3589932918548584,0.0010803332552313805,0.5836783530157845,0.9935192428529263
1248000,15600,904,1.3514606952667236,0.005775933153927326,0.33192764211562464,0.9425261467695236
1256000,15700,904,1.3569868803024292,0.0062564401887357235,0.32844164564448874,0.9537022411823273
1264000,15800,904,1.365148901939392,0.000876717094797641,0.24425477593176764,0.9907597647979856
1272000,15900,904,1.362999677658081,0.018401050940155983,0.2469947666861117,0.8455560803413391
1280000,16000,904,1.3642820119857788,0.008906131610274315,0.5373687343933853,0.9451809115707874
1288000,16100,904,1.3758141994476318,0.011249853298068047,0.1777958800426859,0.8030386418104172
1296000,16200,904,1.3697792291641235,0.0006669973372481763,0.2154261959309224,0.9896417688578367
1304000,16300,904,1.36252760887146,0.0010733858216553926,0.1798436083830893,0.9870555391535163
1312000,16400,904,1.3667166233062744,0.0011412942549213767,0.32749124825932086,0.9892936730757356
1320000,16500,904,1.3702518939971924,0.0012199345510452986,0.21079266533779445,0.9852372258901596
1328000,16600,904,1.3578771352767944,0.0017054842319339514,0.3323178415885195,0.9836528617888689
1336000,16700,904,1.3599637746810913,0.000797576445620507,0.42134006050182504,0.9921840894967318
1344000,16800,904,1.356122374534607,0.001550546265207231,0.4631482737138867,0.9853198332712054
1352000,16900,904,1.3607453107833862,0.0019052202114835382,0.3696440081046603,0.9785007555037737
1360000,17000,904,1.3634785413742065,0.0008142890292219818,0.3442328021628782,0.9916705442592502
1368000,17100,904,1.3641362190246582,0.004460440017282963,0.18217733355522797,0.9229444488883018
1376000,17200,904,1.3647024631500244,0.0031066639348864555,0.3870728524401784,0.98628971260041
1384000,17300,904,1.3616191148757935,0.0016723976004868746,0.2702934783883393,0.9803635384887457
1392000,17400,904,1.3699836730957031,0.0013205381110310555,0.254173458670266,0.986754983663559
1400000,17500,904,1.3674938678741455,0.005739099346101284,0.34118710160255433,0.9530543386936188
1408000,17600,904,1.3577330112457275,0.000954089337028563,0.251428289397154,0.9917391408234835
1416000,17700,904,1.3728007078170776,0.008820799179375172,0.28488498702063225,0.8737590312957764
1424000,17800,904,1.3570257425308228,0.00044007599353790283,0.39617455429397525,0.997662077890709
1432000,17900,904,1.371417760848999,0.002302477601915598,0.2770231612026691,0.9741481561213732
1440000,18000,904,1.3710013628005981,0.0005843187682330608,0.0871768593438901,0.9782936051487923
1448000,18100,904,1.3463571071624756,0.0082457410171628,0.325121894601034,0.9289072826504707
1456000,18200,904,1.3776379823684692,0.004720526281744242,0.16111652663676068,0.8560336381196976
1464000,18300,904,1.3713998794555664,0.00339147518388927,0.3121364739490673,0.9652229808270931
1472000,18400,904,1.3727824687957764,0.0048094866797327995,0.4186506599653512,0.963798251003027
1480000,18500,904,1.3755409717559814,0.02231769636273384,0.2582998628655332,0.7952926158905029
1488000,18600,904,1.3765239715576172,0.003724176436662674,0.34792842334136365,0.9586779065430164
1496000,18700,904,1.372265338897705,0.00288279727101326,0.22870333803002724,0.9742385633289814
