total_timesteps,fps,nupdates,explained_variance,policy_entropy,value_loss
6592000,1761,82400,-1.3361165523529053,2.8903677463531494,1.0720018508436624e-06
6600000,1762,82500,-0.45442819595336914,2.8903679847717285,2.368399464103277e-06
6608000,1761,82600,-1.1052067279815674,2.890368700027466,2.5235797238565283e-06
6616000,1761,82700,-0.07672500610351562,2.8903682231903076,2.154381490981905e-06
6624000,1761,82800,-0.993080735206604,2.8903682231903076,1.969585582628497e-06
6632000,1761,82900,-1.1250255107879639,2.8903682231903076,3.187120000802679e-06
6640000,1761,83000,-4.392508029937744,2.890368700027466,1.7993676237892942e-06
6648000,1761,83100,-1.209360122680664,2.8903682231903076,1.5606749457219848e-06
6656000,1761,83200,-0.7347949743270874,2.890368700027466,1.5569634115308872e-06
6664000,1761,83300,-0.25933706760406494,2.890368700027466,1.8236299865748151e-06
6672000,1761,83400,-0.6128412485122681,2.8903675079345703,1.6535392433070228e-06
6680000,1761,83500,-1.845022439956665,2.8903679847717285,2.405663053650642e-06
6688000,1761,83600,-0.15025591850280762,2.8903679847717285,8.488408411722048e-07
6696000,1761,83700,-1.287611961364746,2.8903682231903076,1.5159344002313446e-06
6704000,1761,83800,-0.2706484794616699,2.8903682231903076,2.1558930711762514e-06
6712000,1761,83900,-1.5829987525939941,2.8903679847717285,1.7879086726679816e-06
6720000,1761,84000,-1.0668585300445557,2.8903682231903076,1.3963706351205474e-06
6728000,1761,84100,-0.4990583658218384,2.8903679847717285,2.528801360313082e-06
6736000,1761,84200,-1.655944585800171,2.890366792678833,2.2189949504536344e-06
6744000,1761,84300,-0.06782317161560059,2.890367269515991,1.8948876459035091e-06
6752000,1761,84400,-1.991732120513916,2.8903679847717285,1.4114129953668453e-06
6760000,1761,84500,-1.9592821598052979,2.8903675079345703,2.2514000193041284e-06
6768000,1761,84600,-1.5477540493011475,2.890366554260254,2.4333803594345227e-06
6776000,1761,84700,-1.3260457515716553,2.890367269515991,3.4500487799959956e-06
6784000,1761,84800,5.7220458984375e-06,2.890367269515991,0.03011501394212246
6792000,1761,84900,-1.2664430141448975,2.8903491497039795,1.7034202528520836e-06
6800000,1761,85000,-0.5728483200073242,2.890350818634033,2.0721745386254042e-06
6808000,1761,85100,-1.5866961479187012,2.890352249145508,1.1880135843966855e-06
6816000,1761,85200,-1.4418830871582031,2.8903555870056152,1.804131898097694e-06
6824000,1761,85300,-0.9890546798706055,2.890357494354248,2.6703253297455376e-06
6832000,1761,85400,-1.98728609085083,2.8903586864471436,2.183186097681755e-06
6840000,1761,85500,-0.5214165449142456,2.8903608322143555,2.838541604432976e-06
6848000,1761,85600,-0.33644092082977295,2.890362024307251,3.75929948859266e-06
6856000,1761,85700,-0.6566591262817383,2.89036226272583,1.3115694628140773e-06
6864000,1761,85800,-0.8037781715393066,2.8903613090515137,1.7733875665726373e-06
6872000,1761,85900,-1.9543025493621826,2.89036226272583,1.792247189769114e-06
6880000,1761,86000,-0.5061761140823364,2.8903613090515137,1.5385930964839645e-06
6888000,1761,86100,-1.2374978065490723,2.890362501144409,1.8128670262740343e-06
6896000,1761,86200,-0.8099782466888428,2.8903636932373047,2.647631390573224e-06
6904000,1761,86300,-0.9301799535751343,2.8903632164001465,2.6147747576033e-06
6912000,1761,86400,-0.5233851671218872,2.8903629779815674,2.55637360169203e-06
6920000,1761,86500,0.05460864305496216,2.8903634548187256,7.237646286739619e-07
6928000,1761,86600,-0.940975546836853,2.8903636932373047,1.5666959143345593e-06
6936000,1761,86700,-1.3374712467193604,2.8903651237487793,1.854623747021833e-06
6944000,1761,86800,-1.914330244064331,2.8903653621673584,2.312066499143839e-06
6952000,1761,86900,-0.9653005599975586,2.890366792678833,2.879714202208561e-06
6960000,1761,87000,-1.4172723293304443,2.890367031097412,2.4869752905942732e-06
6968000,1761,87100,-0.47315287590026855,2.890367031097412,2.4414125618932303e-06
6976000,1761,87200,-1.0307528972625732,2.890366554260254,1.0440822961754748e-06
6984000,1761,87300,-0.9532158374786377,2.890367269515991,2.033640157605987e-06
6992000,1761,87400,-0.9970229864120483,2.890367031097412,1.817124939407222e-06
7000000,1761,87500,-1.541883945465088,2.890367031097412,1.2294671023482806e-06
7008000,1761,87600,-0.7848278284072876,2.890366554260254,1.8964004766530707e-06
7016000,1761,87700,-0.05813884735107422,2.8903677463531494,2.3190891624835785e-06
7024000,1761,87800,-0.3074772357940674,2.8903675079345703,1.1107931641163304e-06
7032000,1761,87900,-1.0722641944885254,2.8903675079345703,1.442551820218796e-06
7040000,1761,88000,-0.9182887077331543,2.890367269515991,1.689562509454845e-06
7048000,1761,88100,-0.6095708608627319,2.8903675079345703,2.5554043077136157e-06
7056000,1761,88200,-2.474616050720215,2.8903677463531494,1.5796476873219945e-06
7064000,1761,88300,-0.41262853145599365,2.8903679847717285,1.9482465631881496e-06
7072000,1761,88400,-0.2759617567062378,2.890368700027466,1.4197196378518129e-06
7080000,1761,88500,-0.30904364585876465,2.8903684616088867,1.872502252808772e-06
7088000,1761,88600,-0.5201365947723389,2.890368938446045,1.5295966022677021e-06
7096000,1761,88700,-0.897882342338562,2.890369176864624,1.5675038866902469e-06
7104000,1761,88800,-0.03989696502685547,2.8903698921203613,1.913530240926775e-06
7112000,1761,88900,-0.40779924392700195,2.890369415283203,1.866038815023785e-06
7120000,1761,89000,-1.2063429355621338,2.890369176864624,1.744766677802545e-06
7128000,1761,89100,-1.1534466743469238,2.890369176864624,2.1713883597840322e-06
7136000,1761,89200,-0.7318522930145264,2.8903696537017822,1.211362587127951e-06
7144000,1761,89300,-0.9810032844543457,2.8903703689575195,1.0703075759010972e-06
7152000,1761,89400,-1.0941660404205322,2.8903698921203613,4.969301699020434e-06
7160000,1761,89500,-0.15629911422729492,2.890369415283203,1.1773208825616166e-06
7168000,1761,89600,-1.8729805946350098,2.8903698921203613,2.424693548164214e-06
7176000,1761,89700,-1.4449706077575684,2.890369415283203,1.9069614154432202e-06
7184000,1761,89800,-0.6555016040802002,2.8903698921203613,1.2505955737651675e-06
