fps,policy_entropy,explained_variance,total_timesteps,nupdates,value_loss,avg reward
1974,1.5179388523101807,0.8606761693954468,6872000,85900,0.03806793689727783,2.4541704058647156
1975,1.4962222576141357,0.9743068926036358,6880000,86000,0.048566121608018875,2.9185912473127247
1975,1.4538452625274658,0.9297291934490204,6888000,86100,0.0551273413002491,2.557482191361487
1975,1.4031684398651123,0.9697434026747942,6896000,86200,0.06540395319461823,3.2288856100291015
1975,1.4921900033950806,0.9731354750692844,6904000,86300,0.029825681820511818,2.1705084818211615
1975,1.3584346771240234,0.9797857981175184,6912000,86400,0.04326791688799858,3.6563369132578374
1975,1.392809271812439,0.9586158245801926,6920000,86500,0.04027610644698143,2.3417810875922442
1975,1.3307609558105469,0.9703400731086731,6928000,86600,0.04647945985198021,3.0878282982856033
1975,1.3410961627960205,0.9603253826498985,6936000,86700,0.04399048537015915,2.8785167720168827
1975,1.2726266384124756,0.9688328318297863,6944000,86800,0.05753033608198166,3.202234227024019
1975,1.5190519094467163,0.9705376699566841,6952000,86900,0.03572520613670349,3.005334971472621
1976,1.4976179599761963,0.9604550451040268,6960000,87000,0.04314493387937546,2.32953330129385
1976,1.5146028995513916,0.9354899525642395,6968000,87100,0.06766308099031448,3.7934934854507447
1976,1.5345675945281982,0.9456567503511906,6976000,87200,0.05806834623217583,1.9421102315187455
1976,1.3535032272338867,0.9459782466292381,6984000,87300,0.04846696928143501,3.5938525974750517
1976,1.3911749124526978,0.9684060141444206,6992000,87400,0.049515534192323685,2.699921278562397
1976,1.383042812347412,0.9132542535662651,7000000,87500,0.07142218202352524,3.412453392148018
1976,1.4548457860946655,0.9840644989162683,7008000,87600,0.039416033774614334,2.4862562778405843
1976,1.3627960681915283,0.9784645941108465,7016000,87700,0.028234362602233887,2.983764013275504
1976,1.4894365072250366,0.9517024233937263,7024000,87800,0.06505566835403442,2.5672932488378137
1977,1.5165345668792725,0.9741132687777281,7032000,87900,0.03851106017827988,3.027237668633461
1976,1.39939284324646,0.9371194392442703,7040000,88000,0.056613337248563766,3.5357820257544517
1977,1.4610412120819092,0.9644105285406113,7048000,88100,0.05673961713910103,2.2241320286877455
1977,1.4869424104690552,0.9585362263023853,7056000,88200,0.039812248200178146,3.157490789704025
1977,1.5534261465072632,0.9611329548060894,7064000,88300,0.04675300791859627,2.7230508103966713
1977,1.4215917587280273,0.9368436709046364,7072000,88400,0.10839180648326874,2.793081983923912
1977,1.3701684474945068,0.9757968224585056,7080000,88500,0.03894830495119095,2.8750088814646007
1977,1.5422885417938232,0.9081578031182289,7088000,88600,0.08186472952365875,2.9352342262864113
1977,1.5224591493606567,0.9883041922003031,7096000,88700,0.02288927510380745,3.11371009349823
