fps,nupdates,avg reward,total_timesteps,value_loss,explained_variance,policy_entropy
1891,15300,1.978037206083536,1224000,0.014476383104920387,0.9765491131693125,1.66000497341156
1892,15400,1.0955654153600336,1232000,0.02193676121532917,0.9619022458791733,1.6934003829956055
1891,15500,1.7218891609460116,1240000,0.04291554167866707,0.868808925151825,1.6803271770477295
1891,15600,0.7171927042305469,1248000,0.00930524617433548,0.9134040847420692,1.7638719081878662
1891,15700,1.8703921539708972,1256000,0.015011687763035297,0.9702675193548203,1.6854997873306274
1891,15800,1.15451556884218,1264000,0.004096820019185543,0.9887926364317536,1.6906455755233765
1891,15900,1.1166190639138223,1272000,0.053951628506183624,0.9247749224305153,1.6950076818466187
1891,16000,1.8305337842553855,1280000,0.016607319936156273,0.9572943709790707,1.703790307044983
1892,16100,1.8272390112280845,1288000,0.02519283816218376,0.9276049584150314,1.7139794826507568
1892,16200,1.3891029216349124,1296000,0.0173791591078043,0.9674804471433163,1.73287832736969
1892,16300,1.306978048477322,1304000,0.014142888598144054,0.9728811010718346,1.7012134790420532
1893,16400,1.8950590930879117,1312000,0.022277671843767166,0.9778138995170593,1.6692750453948975
1893,16500,2.208659445121884,1320000,0.02332223765552044,0.9702883567661047,1.6362531185150146
1893,16600,1.3464609637856484,1328000,0.00919393077492714,0.9836650546640158,1.704789161682129
1894,16700,1.1188935779035092,1336000,0.025660082697868347,0.8627018630504608,1.6865192651748657
1894,16800,1.6701286227907985,1344000,0.22539182007312775,0.6528769731521606,1.708417534828186
1895,16900,1.4716249622404576,1352000,0.018179964274168015,0.9640936478972435,1.7162296772003174
1895,17000,1.8510998979210853,1360000,0.02053353376686573,0.9591978155076504,1.6710649728775024
1895,17100,1.453804589714855,1368000,0.009187879972159863,0.9806769639253616,1.604109764099121
1896,17200,0.9892507406882942,1376000,0.012149976566433907,0.9509397894144058,1.738701581954956
1896,17300,1.651156048849225,1384000,0.019091840833425522,0.9487489648163319,1.679165244102478
1897,17400,1.4149540796875955,1392000,0.04041097313165665,0.90122190117836,1.6832349300384521
1897,17500,1.1902959290891886,1400000,0.041945889592170715,0.9122721925377846,1.6547740697860718
1898,17600,1.7897426260635256,1408000,0.036483198404312134,0.9430538043379784,1.6537672281265259
1898,17700,1.9733507983386516,1416000,0.021734628826379776,0.9704802166670561,1.6610805988311768
1898,17800,1.441046540159732,1424000,0.014695601537823677,0.9527013711631298,1.6906211376190186
1898,17900,1.5551688633859158,1432000,0.015916313976049423,0.9698055163025856,1.596967101097107
1899,18000,1.485079625621438,1440000,0.013364842161536217,0.9788294471800327,1.6551507711410522
1899,18100,1.316230484843254,1448000,0.024540800601243973,0.9452139846980572,1.7164415121078491
1899,18200,1.2908798489719628,1456000,0.023837704211473465,0.9603022076189518,1.6835025548934937
1900,18300,1.2149791499599814,1464000,0.007014560513198376,0.9819491431117058,1.7269790172576904
1899,18400,1.4939254142343998,1472000,0.01736174337565899,0.9486652724444866,1.7075891494750977
1899,18500,1.3842146398499608,1480000,0.03529494255781174,0.8839890882372856,1.667656660079956
1899,18600,1.4717795027419924,1488000,0.024249909445643425,0.9398209489881992,1.7495806217193604
1899,18700,1.7290008533746004,1496000,0.011043346486985683,0.9815604761242867,1.631570816040039
