fps,avg reward,nupdates,explained_variance,learning rate,epsilonValue,value_loss,total_timesteps,policy_entropy
1754,2.7019113663583996,34600,0.9864938789978623,0.001,0.0007272674363255627,0.02766706608235836,2768000,1.527061104774475
1754,2.2816477237734945,34700,0.9925971734337509,0.001,0.0007272674363255627,0.019385773688554764,2776000,1.5551260709762573
1755,1.9600809682160616,34800,0.9674648828804493,0.001,0.0007272674363255627,0.06176518276333809,2784000,1.6068004369735718
1755,5.07142246812582,34900,0.7172063589096069,0.001,0.0007272674363255627,1.7853224277496338,2792000,1.3201318979263306
1756,2.512222645431757,35000,0.9788686111569405,0.001,0.0007272674363255627,0.03915451467037201,2800000,1.524391531944275
1756,2.7939286760985853,35100,0.9870262183248997,0.001,0.0007272674363255627,0.019432922825217247,2808000,1.406072974205017
1756,2.815662568807602,35200,0.9912477703765035,0.001,0.0007272674363255627,0.021384702995419502,2816000,1.5693519115447998
1756,4.030722697079182,35300,0.9084085375070572,0.001,0.0007272674363255627,0.5052017569541931,2824000,1.5174983739852905
1757,2.671570757497102,35400,0.9850803297013044,0.001,0.0007272674363255627,0.06610898673534393,2832000,1.4494030475616455
1757,2.1944839671254157,35500,0.9916796069592237,0.001,0.0007272674363255627,0.02074413001537323,2840000,1.5304371118545532
1757,2.1327284831553697,35600,0.9894327819347382,0.001,0.0007272674363255627,0.015247727744281292,2848000,1.5489096641540527
1758,1.7568659053416922,35700,0.9916182719171047,0.001,0.0007272674363255627,0.012335595674812794,2856000,1.5725390911102295
1758,1.1033172629773618,35800,0.8917424008250237,0.001,0.0007272674363255627,0.04638681560754776,2864000,1.667517900466919
1759,2.7002337120007724,35900,0.9846559595316648,0.001,0.0007272674363255627,0.03435872867703438,2872000,1.4749189615249634
1759,2.282948345597833,36000,0.9874789733439684,0.001,0.0007272674363255627,0.045997221022844315,2880000,1.599993348121643
1760,2.741608849633485,36100,0.9638621471822262,0.001,0.0007272674363255627,0.1296239197254181,2888000,1.6414728164672852
1760,2.0205459229648115,36200,0.9542633220553398,0.001,0.0007272674363255627,0.043714821338653564,2896000,1.5986862182617188
1760,6.362959888577461,36300,0.9073886349797249,0.001,0.0007272674363255627,0.7450032830238342,2904000,1.3755687475204468
1761,3.1357434462755918,36400,0.9929173439741135,0.001,0.0007272674363255627,0.03344701603055,2912000,1.4447519779205322
1761,1.9959105664864183,36500,0.9907615492120385,0.001,0.0007272674363255627,0.022510720416903496,2920000,1.5781404972076416
1761,1.61435752119869,36600,0.990338078700006,0.001,0.0007272674363255627,0.015499169938266277,2928000,1.6089023351669312
1762,2.3091666077263655,36700,0.9852058961987495,0.001,0.0007272674363255627,0.06679358333349228,2936000,1.4907619953155518
1762,1.3675475964322685,36800,0.9690362140536308,0.001,0.0007272674363255627,0.029362687841057777,2944000,1.6136804819107056
1762,2.566760899871588,36900,0.9935122919268906,0.001,0.0007272674363255627,0.01737578772008419,2952000,1.6228135824203491
1763,3.6416346879675983,37000,0.9858392905443907,0.001,0.0007272674363255627,0.042668409645557404,2960000,1.4996740818023682
1763,2.1801606941968203,37100,0.9884535511955619,0.001,0.0007272674363255627,0.02978251315653324,2968000,1.484156608581543
1764,1.992754703015089,37200,0.9856139635667205,0.001,0.0007272674363255627,0.03290807455778122,2976000,1.6207854747772217
