nupdates,total_timesteps,fps,policy_entropy,explained_variance,value_loss,epsilonValue,avg reward
29300,2344000,1871,1.658559799194336,0.9701916370540857,0.013697902671992779,0.0007272674597696427,1.5269385675434024
29400,2352000,1871,1.7107805013656616,0.9474791809916496,0.022554991766810417,0.0007272674597696427,1.5114714857190847
29500,2360000,1871,1.674634337425232,0.9534787908196449,0.02299671806395054,0.0007272674597696427,1.1745585771743208
29600,2368000,1872,1.714382529258728,0.8877268582582474,0.05833258479833603,0.0007272674597696427,1.2544652647804468
29700,2376000,1872,1.7257198095321655,0.9279819801449776,0.05034591630101204,0.0007272674597696427,1.2498648564331234
29800,2384000,1872,1.7327150106430054,0.9567833989858627,0.015682067722082138,0.0007272674597696427,1.1195790040073916
29900,2392000,1871,1.7424224615097046,0.9134964719414711,0.027740206569433212,0.0007272674597696427,0.9052409597672522
30000,2400000,1872,1.726051926612854,0.931383028626442,0.024569498375058174,0.0007272674597696427,1.1860320380656049
30100,2408000,1872,1.722245454788208,0.9458375051617622,0.023219570517539978,0.0007272674597696427,1.4485209926962852
30200,2416000,1872,1.7079370021820068,0.9617005959153175,0.025945838540792465,0.0007272674597696427,1.0821267367340623
30300,2424000,1872,1.7016277313232422,0.9769366662949324,0.011204343289136887,0.0007272674597696427,1.2834244236350059
30400,2432000,1872,1.6057569980621338,0.9661260135471821,0.019460851326584816,0.0007272674597696427,1.4544504566118122
30500,2440000,1873,1.6275352239608765,0.9590583443641663,0.015206274576485157,0.0007272674597696427,1.3335568155394868
30600,2448000,1873,1.7065927982330322,0.9747508633881807,0.012263139709830284,0.0007272674597696427,1.4967888558283449
30700,2456000,1873,1.7133243083953857,0.9861437994986773,0.00784244854003191,0.0007272674597696427,1.1981873684562743
30800,2464000,1873,1.6494734287261963,0.9687284529209137,0.015566542744636536,0.0007272674597696427,1.589411858841777
30900,2472000,1873,1.7217848300933838,0.9624992944300175,0.014530962333083153,0.0007272674597696427,0.799838088476099
31000,2480000,1873,1.7184162139892578,0.9472397677600384,0.02083018235862255,0.0007272674597696427,1.1528653256595134
31100,2488000,1873,1.6956827640533447,0.9832153283059597,0.008483421988785267,0.0007272674597696427,1.5760953813791274
31200,2496000,1873,1.6390936374664307,0.971386780962348,0.020455265417695045,0.0007272674597696427,2.358893898874521
31300,2504000,1873,1.687320351600647,0.9523095563054085,0.015581222251057625,0.0007272674597696427,1.3085925612365827
31400,2512000,1873,1.646641492843628,0.9877968709915876,0.00773491570726037,0.0007272674597696427,1.8716855805367232
31500,2520000,1873,1.7298672199249268,0.9821811877191067,0.00670969020575285,0.0007272674597696427,0.7976634264923632
31600,2528000,1874,1.7304584980010986,0.9906693194061518,0.005085659679025412,0.0007272674597696427,1.23472854886204
31700,2536000,1874,1.6527875661849976,0.9707360714673996,0.010464953258633614,0.0007272674597696427,1.4790893736295403
31800,2544000,1874,1.699252724647522,0.9814499691128731,0.008638208732008934,0.0007272674597696427,1.16806360501796
31900,2552000,1874,1.7015917301177979,0.9581572823226452,0.020267605781555176,0.0007272674597696427,1.2438061343738809
32000,2560000,1874,1.636216402053833,0.9763232953846455,0.016402006149291992,0.0007272674597696427,1.492067950591445
32100,2568000,1874,1.6876357793807983,0.9485076665878296,0.03140971437096596,0.0007272674597696427,2.1868275169283153
32200,2576000,1875,1.6981643438339233,0.9586278088390827,0.01961301453411579,0.0007272674597696427,1.570817243307829
32300,2584000,1875,1.6862115859985352,0.978072552010417,0.0043853940442204475,0.0007272674597696427,1.0527214772999287
32400,2592000,1875,1.7102711200714111,0.9643771164119244,0.018612723797559738,0.0007272674597696427,1.5025326964445411
32500,2600000,1875,1.6933002471923828,0.9527252614498138,0.02420070581138134,0.0007272674597696427,1.8791308350861073
32600,2608000,1875,1.6929222345352173,0.8192377835512161,0.03920760005712509,0.0007272674597696427,1.3778931077569723
32700,2616000,1875,1.761082410812378,0.9636642672121525,0.015237855724990368,0.0007272674597696427,1.459299579821527
32800,2624000,1875,1.7545582056045532,0.9766398798674345,0.010054771788418293,0.0007272674597696427,1.2428799333050846
32900,2632000,1875,1.7615175247192383,0.9844757979735732,0.005978384055197239,0.0007272674597696427,1.120654041308444
33000,2640000,1876,1.7314550876617432,0.9880735091865063,0.008847341872751713,0.0007272674597696427,1.9663442190736533
33100,2648000,1876,1.6863203048706055,0.9545927308499813,0.031144101172685623,0.0007272674597696427,1.3698747111484408
33200,2656000,1876,1.6255769729614258,0.94078553840518,0.02477610670030117,0.0007272674597696427,1.7067909432575106
33300,2664000,1876,1.7151868343353271,0.9623520225286484,0.010768699459731579,0.0007272674597696427,1.8867306359112264
33400,2672000,1877,1.7095743417739868,0.9377273805439472,0.013656137511134148,0.0007272674597696427,0.9120162277249619
33500,2680000,1877,1.6425220966339111,0.9299950003623962,0.048807475715875626,0.0007272674597696427,1.7776211589574813
33600,2688000,1877,1.7149673700332642,0.9886841047555208,0.0035182610154151917,0.0007272674597696427,1.1005709293298422
33700,2696000,1877,1.7193365097045898,0.9671635515987873,0.009414369240403175,0.0007272674597696427,1.0942202457925305
33800,2704000,1878,1.6724598407745361,0.9486226513981819,0.037816308438777924,0.0007272674597696427,2.0227757643908264
33900,2712000,1878,1.7025010585784912,0.9576142728328705,0.013336427509784698,0.0007272674597696427,2.0264947593212126
34000,2720000,1878,1.7030528783798218,0.9548672214150429,0.019451037049293518,0.0007272674597696427,1.732848396897316
34100,2728000,1878,1.734993577003479,0.9718722235411406,0.01329073030501604,0.0007272674597696427,0.993893016781658
34200,2736000,1878,1.7546199560165405,0.961570780724287,0.011976039037108421,0.0007272674597696427,0.978591623326065
34300,2744000,1878,1.717555284500122,0.9489413537085056,0.016151225194334984,0.0007272674597696427,1.3975024487823249
34400,2752000,1878,1.7320053577423096,0.93088498711586,0.021461928263306618,0.0007272674597696427,0.9549221526831388
34500,2760000,1878,1.667629599571228,0.9469941519200802,0.02978292480111122,0.0007272674597696427,1.5630349289625882
34600,2768000,1879,1.6822925806045532,0.9874623762443662,0.008886936120688915,0.0007272674597696427,1.4684172498062253
34700,2776000,1879,1.7092291116714478,0.9841572865843773,0.009081345982849598,0.0007272674597696427,1.7908477606251836
34800,2784000,1879,1.7363563776016235,0.9563385546207428,0.013148067519068718,0.0007272674597696427,1.4493413027375937
34900,2792000,1879,1.7310502529144287,0.9579350017011166,0.013725116848945618,0.0007272674597696427,1.1210772366262973
35000,2800000,1879,1.6554594039916992,0.9781374894082546,0.011278323829174042,0.0007272674597696427,1.676375899463892
35100,2808000,1879,1.7618427276611328,0.9847226487472653,0.0033502266742289066,0.0007272674597696427,0.7927669432479888
35200,2816000,1879,1.7624702453613281,0.8896600157022476,0.046418070793151855,0.0007272674597696427,1.0070945027517155
