fps,explained_variance,total_timesteps,value_loss,avg reward,policy_entropy,nupdates
1997,-0.6999439001083374,3312000,4.487050773605006e-06,0.001675452726703952,2.1972107887268066,41400
1997,-1.237907886505127,3320000,7.463325800927123e-06,0.00019125816752421087,2.1972222328186035,41500
1997,-0.40674352645874023,3328000,1.894239176181145e-05,-0.0009021899131766986,2.197218418121338,41600
1997,-0.5300403833389282,3336000,1.726151822367683e-06,-0.0006176791881443933,2.1972219944000244,41700
1997,-1.2491164207458496,3344000,9.533514457871206e-06,-8.113126805255887e-05,2.197221040725708,41800
1997,-0.5493326187133789,3352000,3.2192554044740973e-06,-0.0002698479932405462,2.19722318649292,41900
1996,-0.5368951559066772,3360000,4.443093985173618e-06,-0.00021555283092311583,2.1972227096557617,42000
1996,0.17826241254806519,3368000,4.944646207150072e-06,-0.001318426637635639,2.1972153186798096,42100
1996,-0.20032501220703125,3376000,3.890138941642363e-06,-0.0007201942185929511,2.1972227096557617,42200
1997,0.057179272174835205,3384000,1.4985013876867015e-05,0.0006713388080243021,2.197221279144287,42300
1997,-1.0589208602905273,3392000,1.7106488030549372e-06,-0.00018675997721402383,2.1972219944000244,42400
1997,-1.0180017948150635,3400000,2.28415010496974e-05,0.0035086026251519797,2.197221040725708,42500
1996,-0.4378635883331299,3408000,2.3945935936353635e-06,0.000699065123899345,2.1972227096557617,42600
1997,-0.09823465347290039,3416000,4.168488430877915e-06,0.0005362562906611856,2.1972174644470215,42700
1997,-0.9699451923370361,3424000,4.438148152985377e-06,0.0010024702583905309,2.1972222328186035,42800
1997,-0.4093594551086426,3432000,1.3150563063391019e-05,0.00151194769250651,2.197218418121338,42900
1997,-0.31095194816589355,3440000,2.1989289962220937e-06,0.0015285833846064635,2.197220802307129,43000
1997,-0.7446936368942261,3448000,1.531926500319969e-05,0.0020102229558688124,2.197218656539917,43100
1996,-1.9738688468933105,3456000,5.0419971557857934e-06,-0.0007499305473174899,2.1972217559814453,43200
1996,-0.08485853672027588,3464000,4.051034011354204e-06,0.00040125615705619564,2.197221279144287,43300
1996,0.03983789682388306,3472000,6.5570006881898735e-06,-0.002461564732948318,2.1972148418426514,43400
1996,-0.8274356126785278,3480000,3.523469786159694e-06,0.0001868574315267324,2.197221517562866,43500
1996,-0.7776099443435669,3488000,1.4105008631304372e-05,-0.0013073608399281512,2.1972172260284424,43600
1997,-0.8386344909667969,3496000,1.2116158814023947e-06,0.00015211744853331765,2.1972198486328125,43700
1997,-1.9694898128509521,3504000,1.2199345292174257e-05,0.0010772845682140541,2.197219133377075,43800
1996,-0.9599840641021729,3512000,4.0130707930075005e-06,0.0007460913707006966,2.1972227096557617,43900
1996,-0.8302956819534302,3520000,5.723952654079767e-06,-0.001549275192701316,2.1972222328186035,44000
1997,0.01960545778274536,3528000,4.274204457033193e-06,-0.0017085028564906679,2.197213649749756,44100
1997,-0.3176053762435913,3536000,6.0240490711294115e-06,4.142004017921863e-05,2.1972217559814453,44200
1997,-0.6799194812774658,3544000,1.8505106709199026e-05,-0.0006308166586677544,2.1972203254699707,44300
1997,-0.15073561668395996,3552000,2.240503818029538e-06,-0.0007497390664866543,2.197221279144287,44400
1997,-1.2725880146026611,3560000,1.8532387912273407e-05,0.0019248167803652904,2.197216749191284,44500
1997,-0.8155194520950317,3568000,2.789019163174089e-06,0.0025398612247954588,2.1972217559814453,44600
1997,-0.27407288551330566,3576000,3.385913487363723e-06,-0.00018830829217222344,2.1972122192382812,44700
1997,-0.3402702808380127,3584000,4.37010658060899e-06,0.00011759931658161804,2.1972222328186035,44800
1997,-0.7148411273956299,3592000,1.580500611453317e-05,0.0025103701020270817,2.1972179412841797,44900
1997,0.16112500429153442,3600000,1.090491082322842e-06,0.00019795265393440786,2.1972227096557617,45000
1998,-0.5688772201538086,3608000,1.139271080319304e-05,-0.00036365512569318524,2.1972193717956543,45100
1997,-0.448142409324646,3616000,4.6047002797422465e-06,0.0011288424649137595,2.197223663330078,45200
1997,-0.9600080251693726,3624000,4.098068984603742e-06,0.000532748743898992,2.197223424911499,45300
1997,0.07223880290985107,3632000,6.109397418185836e-06,0.00031711763276689455,2.19720721244812,45400
1997,0.17600464820861816,3640000,2.7172504815098364e-06,-0.0004354425436758902,2.19722318649292,45500
1997,-0.6110098361968994,3648000,1.1465451279946137e-05,-0.00010384512352175079,2.197218894958496,45600
1997,-1.4276063442230225,3656000,2.0558400137815624e-06,0.00035949819693996686,2.1972227096557617,45700
1997,-1.2968721389770508,3664000,1.3080692951916717e-05,0.0012979918423297932,2.197216033935547,45800
1997,-3.311248302459717,3672000,2.8020256195304682e-06,-0.0012914539282064652,2.19722318649292,45900
1997,-3.0195770263671875,3680000,6.166048024169868e-06,-0.001290918238737504,2.197211980819702,46000
1997,-0.9399516582489014,3688000,3.7453501136042178e-06,0.002187153414342902,2.1972155570983887,46100
1997,-0.8238333463668823,3696000,4.654820713767549e-06,-0.0004049680135722156,2.1972217559814453,46200
1997,-0.9118189811706543,3704000,1.4664983609691262e-05,-0.00278837529377256,2.1972198486328125,46300
1997,-0.6755548715591431,3712000,1.7834827303886414e-06,-0.0006736967570759589,2.197221279144287,46400
1997,-0.8331841230392456,3720000,2.63644615188241e-05,-0.0010097125054016943,2.1972155570983887,46500
1996,-0.8804845809936523,3728000,2.1115661184012424e-06,0.0021405796022008873,2.1972227096557617,46600
1996,0.1254224181175232,3736000,3.691914116643602e-06,0.0028956649392057445,2.1972179412841797,46700
1996,-1.3490657806396484,3744000,4.2757196752063464e-06,0.00014674370318061846,2.197223663330078,46800
1996,-0.6438616514205933,3752000,1.4582864423573483e-05,-0.00029764544233330527,2.197221279144287,46900
1997,0.010422706604003906,3760000,1.8683052758206031e-06,-0.0006265428919505212,2.1972227096557617,47000
1997,-1.0460724830627441,3768000,1.5599007383571006e-05,0.00030670018772980254,2.19722056388855,47100
1996,-0.20759165287017822,3776000,5.80017922402476e-06,0.0009080053896468598,2.197223663330078,47200
1996,-1.0957815647125244,3784000,3.706849383888766e-06,0.0003395317257357533,2.19722318649292,47300
1996,-0.22081255912780762,3792000,5.752243396273116e-06,-0.0007774443676680676,2.1972134113311768,47400
1997,0.12551230192184448,3800000,2.684367700567236e-06,-0.0005775628163974033,2.19722318649292,47500
1997,-1.7713406085968018,3808000,1.2297905414015986e-05,-0.001230867870617658,2.197218418121338,47600
1997,-0.24319851398468018,3816000,1.0071038332171156e-06,-0.0019493883308314252,2.1972227096557617,47700
1997,-0.7166510820388794,3824000,1.4523114259645808e-05,0.0009201830046094983,2.1972122192382812,47800
1996,-0.3230353593826294,3832000,3.6143585475656437e-06,-0.00037704058577219256,2.19722318649292,47900
1996,-0.860946536064148,3840000,5.9070375755254645e-06,0.0006294408463872969,2.197206735610962,48000
1996,-0.7310807704925537,3848000,6.460878466896247e-06,-0.002215000508340381,2.197219133377075,48100
1996,-0.6800714731216431,3856000,1.2822662938560825e-05,-0.0019096469961368712,2.19722056388855,48200
1996,-0.9046683311462402,3864000,1.0449140972923487e-05,-0.0020489623082085018,2.1972198486328125,48300
1997,0.2623167037963867,3872000,4.0617533159093e-06,-0.0010838851549124229,2.19722318649292,48400
1997,-0.22079730033874512,3880000,1.3541464795707725e-05,0.0035187787338145427,2.1972179412841797,48500
1996,-0.04236805438995361,3888000,2.313164259248879e-06,0.0011046779117805273,2.197223663330078,48600
1996,-0.3794451951980591,3896000,3.288878815510543e-06,0.004149113022140227,2.1972155570983887,48700
1996,-0.9157687425613403,3904000,3.099579771514982e-06,0.0004669243979606108,2.1972239017486572,48800
1996,-0.7642375230789185,3912000,2.0875495465588756e-05,0.0006824244468589313,2.197221279144287,48900
1997,-0.2103503942489624,3920000,1.8704073454500758e-06,-0.000913005103575415,2.1972222328186035,49000
1997,-1.3054568767547607,3928000,1.1216076018172316e-05,0.000892558185296366,2.1972198486328125,49100
1996,0.18420147895812988,3936000,2.3704583327344153e-06,0.00025337873994430994,2.197222948074341,49200
1996,-0.6558346748352051,3944000,2.1769415070593823e-06,-0.000654807937098667,2.197222948074341,49300
