policy_entropy,explained_variance,avg reward,nupdates,learning rate,total_timesteps,value_loss,fps
1.7659269571304321,0.5551530420780182,-1.9147070318460464,26800,0.001,2144000,0.031390659511089325,2073
1.7729151248931885,0.927484504878521,-1.5924221873283386,26900,0.001,2152000,0.0034751719795167446,2073
1.7784042358398438,0.914358414709568,-1.8222346283495425,27000,0.001,2160000,0.008390584029257298,2072
1.7612831592559814,0.6367859244346619,-1.7404640048742295,27100,0.001,2168000,0.0269729383289814,2072
1.7646141052246094,0.9550455659627914,-1.7945604145526886,27200,0.001,2176000,0.005183136556297541,2073
1.7652161121368408,0.8156805485486984,-1.9876822024583816,27300,0.001,2184000,0.022141780704259872,2073
1.7601505517959595,0.9551281034946442,-1.8124581187963487,27400,0.001,2192000,0.005507037043571472,2073
1.7670491933822632,0.9078179523348808,-1.7201671674847603,27500,0.001,2200000,0.008931477554142475,2073
1.7653766870498657,0.8852555900812149,-1.6896271392703057,27600,0.001,2208000,0.013297882862389088,2073
1.7680212259292603,0.9724475629627705,-1.674140603095293,27700,0.001,2216000,0.003873127046972513,2073
1.775444746017456,0.8614542186260223,-1.3891387071460486,27800,0.001,2224000,0.016445783898234367,2073
1.765503168106079,0.634636789560318,-2.010612189769745,27900,0.001,2232000,0.01378372497856617,2073
1.7694085836410522,0.7815606594085693,-1.5457681000232697,28000,0.001,2240000,0.023028578609228134,2073
1.7691911458969116,0.9154938757419586,-1.9889789953827859,28100,0.001,2248000,0.00842338427901268,2074
1.769824743270874,0.9251789152622223,-1.6079746052622794,28200,0.001,2256000,0.007716130465269089,2073
1.7859899997711182,0.908546656370163,-1.3901806153357028,28300,0.001,2264000,0.004325819201767445,2074
1.7677898406982422,0.8746947944164276,-1.9935558527708053,28400,0.001,2272000,0.010236822068691254,2074
1.7636209726333618,0.7320168018341064,-1.3042262360453605,28500,0.001,2280000,0.01254551112651825,2074
1.7554649114608765,0.9109221026301384,-1.5894812561571598,28600,0.001,2288000,0.008967647328972816,2074
1.7492796182632446,0.9261572882533073,-1.350417609512806,28700,0.001,2296000,0.009303014725446701,2074
1.7509212493896484,0.8424354791641235,-1.5674929544329643,28800,0.001,2304000,0.008025052957236767,2074
1.7631886005401611,0.8437386602163315,-1.3935449671931566,28900,0.001,2312000,0.011761261150240898,2074
1.7583935260772705,0.8105469793081284,-1.3179365007672459,29000,0.001,2320000,0.025521617382764816,2074
1.7585818767547607,0.8076641857624054,-1.4532431058585644,29100,0.001,2328000,0.00882352702319622,2075
1.770472764968872,0.9571791589260101,-1.5536903843283654,29200,0.001,2336000,0.0020440337248146534,2075
1.747815728187561,0.8750941604375839,-1.834305314719677,29300,0.001,2344000,0.010070426389575005,2075
1.7476999759674072,0.8217517733573914,-1.2300835996866226,29400,0.001,2352000,0.02261582389473915,2075
1.7432594299316406,0.7709404975175858,-1.7247365564107895,29500,0.001,2360000,0.014360824599862099,2075
1.751241683959961,0.8773004785180092,-1.5395233508199453,29600,0.001,2368000,0.01196211762726307,2075
1.7479791641235352,0.7721324414014816,-1.248091273009777,29700,0.001,2376000,0.015685994178056717,2075
1.7373054027557373,0.9075732976198196,-1.8721280790865422,29800,0.001,2384000,0.010016758926212788,2076
1.7469327449798584,0.6301180422306061,-1.2013221675530077,29900,0.001,2392000,0.02747330628335476,2076
1.722503900527954,0.7696519643068314,-1.4178070157766343,30000,0.001,2400000,0.014389580115675926,2076
1.7440459728240967,0.9099347144365311,-1.2951254073530436,30100,0.001,2408000,0.008275843225419521,2076
1.761008620262146,0.7302439510822296,-1.239154802262783,30200,0.001,2416000,0.012972588650882244,2076
1.761711835861206,0.8427306115627289,-1.3409347973763943,30300,0.001,2424000,0.011292670853435993,2076
1.742651343345642,0.8615658283233643,-0.8061003431677818,30400,0.001,2432000,0.004605361260473728,2077
1.7146146297454834,0.8317897766828537,-1.0807110719382762,30500,0.001,2440000,0.023770581930875778,2077
1.7244571447372437,0.8656509071588516,-1.437084449082613,30600,0.001,2448000,0.006181458942592144,2077
1.7219455242156982,0.75556980073452,-1.3918168276548386,30700,0.001,2456000,0.016383294016122818,2077
1.6766691207885742,0.8482899963855743,-1.58970248401165,30800,0.001,2464000,0.005667738616466522,2077
1.6905381679534912,0.7880017459392548,-1.2317472457885743,30900,0.001,2472000,0.01469084620475769,2077
1.7678029537200928,0.826605811715126,-1.0504358358681203,31000,0.001,2480000,0.016941120848059654,2077
1.7270351648330688,0.6061114072799683,-0.9186287075281143,31100,0.001,2488000,0.008968892507255077,2077
1.7467340230941772,0.9035368040204048,-1.4379545710980892,31200,0.001,2496000,0.008660569787025452,2077
1.6947141885757446,0.8605442196130753,-1.5591582387685776,31300,0.001,2504000,0.013041118159890175,2077
1.6182397603988647,0.8977548703551292,-1.7318648487329482,31400,0.001,2512000,0.009764082729816437,2077
1.7583034038543701,0.8343624919652939,-0.9692342534661293,31500,0.001,2520000,0.00653910031542182,2077
1.665793776512146,0.8813155591487885,-1.603531225770712,31600,0.001,2528000,0.004645921755582094,2077
