fps,explained_variance,nupdates,value_loss,total_timesteps,avg reward,policy_entropy
1841,0.9996609556255862,101900,0.013317666947841644,8152000,6.430012545920908,1.4474214315414429
1841,0.9994958836468868,102000,0.013161967508494854,8160000,6.670487034227699,1.2376424074172974
1841,0.9994744458817877,102100,0.02001390978693962,8168000,5.426973261218518,1.262251377105713
1841,0.998426977195777,102200,0.019253060221672058,8176000,5.163608839176595,1.4110023975372314
1841,0.9975209129042923,102300,0.037771351635456085,8184000,7.737149004498496,1.3127257823944092
1841,0.9981107640778646,102400,0.06312428414821625,8192000,5.413336609350518,1.411489486694336
1841,0.9991512420820072,102500,0.05325036123394966,8200000,10.508748339326122,1.2141481637954712
1841,0.9924690020270646,102600,0.09550435841083527,8208000,6.108167187112121,1.468326210975647
1841,0.9978736138436943,102700,0.04133886471390724,8216000,5.959994596987963,1.3386480808258057
1841,0.9979584335815161,102800,0.04174579679965973,8224000,6.015735906548798,1.3076001405715942
1841,0.9866210268810391,102900,0.48867011070251465,8232000,6.169567576912232,1.345454216003418
1841,0.9971201859880239,103000,0.10452421009540558,8240000,11.032795887440443,1.0749362707138062
1841,0.9936010660603642,103100,0.07538826018571854,8248000,3.645059510692954,1.544677495956421
1842,0.9977439080830663,103200,0.11216763406991959,8256000,10.798054934944957,1.214946985244751
1842,0.9988175373291597,103300,0.021149128675460815,8264000,5.558255463512614,1.5124471187591553
1842,0.9869918283075094,103400,0.07466324418783188,8272000,3.118201591260731,1.4727516174316406
1842,0.9955999599769711,103500,0.14683815836906433,8280000,8.086022204905749,1.3676040172576904
1842,0.9961634646169841,103600,0.050524622201919556,8288000,4.184224383533001,1.4717662334442139
1842,0.9993521320866421,103700,0.029949882999062538,8296000,7.345140351541341,1.4861677885055542
1842,0.9992704530013725,103800,0.020158931612968445,8304000,7.831913121195976,1.3623299598693848
1842,0.9982407985953614,103900,0.033368367701768875,8312000,5.581363652832806,1.446744680404663
1843,0.9992718531866558,104000,0.02295806258916855,8320000,6.815973126329482,1.3576374053955078
1843,0.999281890457496,104100,0.0232661422342062,8328000,7.393617314472794,1.4101217985153198
