total_timesteps,explained_variance,value_loss,fps,avg reward,policy_entropy,nupdates,learning rate
5264000,5.960464477539063e-08,0.023026950657367706,2099,-2.0263212651014326,1.7832624912261963,65800,0.01
5272000,1.1920928955078125e-07,0.059381674975156784,2100,-2.1161318898200987,1.7789312601089478,65900,0.01
5280000,-1.1920928955078125e-07,0.050131965428590775,2100,-1.9372491277754307,1.7642806768417358,66000,0.01
5288000,5.960464477539063e-08,0.023037966340780258,2100,-2.0480724081397055,1.7767242193222046,66100,0.01
5296000,-1.1920928955078125e-07,0.00198982167057693,2099,-1.874470329284668,1.7761695384979248,66200,0.01
5304000,0.0,0.017544444650411606,2100,-1.9021081387996674,1.7765998840332031,66300,0.01
5312000,0.0,0.06117565557360649,2099,-1.767604686319828,1.7633113861083984,66400,0.01
5320000,0.00012093782424926758,0.04353504627943039,2099,-2.0032677866518496,1.7748178243637085,66500,0.01
5328000,1.1920928955078125e-07,0.03806312754750252,2099,-1.9567604541778565,1.768014907836914,66600,0.01
5336000,-1.1920928955078125e-07,0.03834453970193863,2099,-1.9304155349731444,1.7608363628387451,66700,0.01
5344000,0.0,0.0018912290688604116,2099,-1.8274415254592895,1.7755329608917236,66800,0.01
5352000,0.0031551718711853027,0.022900955751538277,2099,-1.9286123484373092,1.7866849899291992,66900,0.01
5360000,1.1920928955078125e-07,0.05494188517332077,2099,-2.0944304198026655,1.7901626825332642,67000,0.01
5368000,-1.1920928955078125e-07,0.012371102347970009,2099,-2.0207824021577836,1.7864758968353271,67100,0.01
5376000,0.0,0.017593195661902428,2099,-1.9770008519291877,1.7875099182128906,67200,0.01
5384000,5.960464477539063e-08,0.022963501513004303,2099,-1.8698609590530395,1.7854654788970947,67300,0.01
5392000,0.0,0.0019103506347164512,2099,-1.8366575717926026,1.7809412479400635,67400,0.01
5400000,5.960464477539063e-08,0.006979144178330898,2099,-1.8340897098183633,1.7621266841888428,67500,0.01
5408000,0.0,0.049570564180612564,2099,-1.9598383888602258,1.778153419494629,67600,0.01
5416000,0.0,0.0024486007168889046,2099,-2.079362630844116,1.7824995517730713,67700,0.01
5424000,-1.1920928955078125e-07,0.028648173436522484,2099,-2.195654699206352,1.7826732397079468,67800,0.01
5432000,5.960464477539063e-08,0.022642280906438828,2099,-2.146741908788681,1.7744472026824951,67900,0.01
5440000,0.0020565390586853027,0.017536869272589684,2099,-1.9727808222174645,1.7648385763168335,68000,0.01
5448000,-2.384185791015625e-07,0.03842754662036896,2099,-2.068978896737099,1.7691020965576172,68100,0.01
5456000,0.0,0.035565085709095,2100,-2.097672699391842,1.7781356573104858,68200,0.01
5464000,1.1920928955078125e-07,0.03860512748360634,2100,-2.2228222340345383,1.7749000787734985,68300,0.01
5472000,0.002146422863006592,0.035395000129938126,2100,-1.9262800954282284,1.782332181930542,68400,0.01
5480000,-1.1920928955078125e-07,0.07035849988460541,2100,-1.9801718100905419,1.782714605331421,68500,0.01
5488000,-1.1920928955078125e-07,0.0019809838850051165,2100,-1.8703023672103882,1.7853212356567383,68600,0.01
5496000,1.1920928955078125e-07,0.06874246895313263,2100,-2.06558446213603,1.7874969244003296,68700,0.01
5504000,0.0,0.007180893328040838,2100,-1.967907691001892,1.7852542400360107,68800,0.01
5512000,0.0,0.05915529280900955,2100,-2.1460261285305022,1.7906029224395752,68900,0.01
5520000,1.1920928955078125e-07,0.027776192873716354,2100,-1.991924923658371,1.7859328985214233,69000,0.01
5528000,5.960464477539063e-08,0.012253271415829659,2100,-1.9101847916841508,1.7768609523773193,69100,0.01
5536000,0.0,0.02852902188897133,2100,-1.8872184202075004,1.779248833656311,69200,0.01
5544000,1.7881393432617188e-07,0.02302764728665352,2100,-2.0277325823903083,1.7895710468292236,69300,0.01
5552000,0.0,0.027774225920438766,2100,-1.9963167175650596,1.7912029027938843,69400,0.01
5560000,5.960464477539063e-08,0.023057464510202408,2100,-2.084238262474537,1.7853686809539795,69500,0.01
5568000,0.0,0.059228528290987015,2100,-2.1734709575772286,1.7835988998413086,69600,0.01
5576000,0.0,0.03272557258605957,2100,-1.9666395276784896,1.78816819190979,69700,0.01
5584000,-1.1920928955078125e-07,0.012257552705705166,2100,-1.9144453078508377,1.7844960689544678,69800,0.01
5592000,5.960464477539063e-08,0.049378376454114914,2100,-1.8762205049395562,1.7801568508148193,69900,0.01
5600000,0.00043636560440063477,0.05117861181497574,2100,-1.8128788478672504,1.7776973247528076,70000,0.01
5608000,0.0030754804611206055,0.017422327771782875,2101,-1.8278754666447639,1.7871147394180298,70100,0.01
5616000,0.0,0.0651409700512886,2101,-2.006231988966465,1.779977560043335,70200,0.01
5624000,1.1920928955078125e-07,0.03882327303290367,2101,-1.9267128452658653,1.7809038162231445,70300,0.01
5632000,0.0,0.038715384900569916,2101,-1.8177445605397224,1.7838003635406494,70400,0.01
5640000,0.0,0.012099592946469784,2101,-1.7407093569636345,1.780662178993225,70500,0.01
5648000,-1.1920928955078125e-07,0.0285350289195776,2101,-1.913711616396904,1.787319540977478,70600,0.01
5656000,-0.02443230152130127,0.006893239915370941,2101,-1.835025382041931,1.7802956104278564,70700,0.01
5664000,-1.1920928955078125e-07,0.022987421602010727,2101,-1.9372225269675254,1.7808473110198975,70800,0.01
5672000,5.960464477539063e-08,0.10719025135040283,2101,-2.1227840036153793,1.7872273921966553,70900,0.01
5680000,1.1920928955078125e-07,0.017612021416425705,2101,-2.003580015897751,1.7807035446166992,71000,0.01
5688000,-0.0027092695236206055,0.02900158427655697,2101,-1.9824211530387401,1.7824643850326538,71100,0.01
5696000,0.0,0.05375899747014046,2101,-2.265870615839958,1.7697772979736328,71200,0.01
5704000,0.001492142677307129,0.076952263712883,2101,-2.225449348241091,1.7701936960220337,71300,0.01
5712000,0.0,0.01743769273161888,2101,-2.1671344518661497,1.7617149353027344,71400,0.01
5720000,0.0,0.002469224389642477,2100,-2.0881018161773683,1.7665992975234985,71500,0.01
5728000,-1.1920928955078125e-07,0.012347144074738026,2100,-1.9993095681071282,1.7726576328277588,71600,0.01
5736000,-0.006971120834350586,0.037269819527864456,2100,-1.9199193358421325,1.7847261428833008,71700,0.01
5744000,0.0,0.002392279449850321,2100,-2.0553106307983398,1.7828338146209717,71800,0.01
5752000,0.0,0.04864582419395447,2100,-2.1985314160585405,1.7781785726547241,71900,0.01
5760000,-4.76837158203125e-07,0.03249642997980118,2100,-2.0470011234283447,1.786956787109375,72000,0.01
5768000,-0.09399235248565674,0.0021971059031784534,2100,-2.0272266626358033,1.7846860885620117,72100,0.01
5776000,0.0,0.012434838339686394,2100,-2.075764301419258,1.783451795578003,72200,0.01
5784000,0.0,0.012261920608580112,2100,-1.9187710776925087,1.7790305614471436,72300,0.01
5792000,-0.025025606155395508,0.0069243647158145905,2100,-1.8372582092881202,1.7780780792236328,72400,0.01
5800000,5.960464477539063e-08,0.006834952626377344,2100,-1.7290221229195595,1.7866322994232178,72500,0.01
5808000,0.0,0.027943497523665428,2100,-1.7161603406071664,1.7875630855560303,72600,0.01
5816000,0.0,0.0805291160941124,2100,-2.1166939228773116,1.7783901691436768,72700,0.01
5824000,-1.1920928955078125e-07,0.03830832242965698,2100,-2.1970552891492843,1.7727832794189453,72800,0.01
5832000,0.0,0.0545537956058979,2100,-2.390213334560394,1.769906997680664,72900,0.01
5840000,0.0,0.03355041518807411,2100,-2.2124554365873337,1.7686666250228882,73000,0.01
5848000,-1.1920928955078125e-07,0.0021873232908546925,2100,-1.9652960538864135,1.763326644897461,73100,0.01
5856000,-1.1920928955078125e-07,0.022944608703255653,2100,-1.8020397633314134,1.7631232738494873,73200,0.01
5864000,1.1920928955078125e-07,0.059858549386262894,2100,-1.982117274403572,1.7785465717315674,73300,0.01
5872000,-1.1920928955078125e-07,0.02782801166176796,2100,-1.8899807915091515,1.7736362218856812,73400,0.01
5880000,-1.1920928955078125e-07,0.086174875497818,2100,-1.9153129197657108,1.7737503051757812,73500,0.01
5888000,-1.1920928955078125e-07,0.002132187131792307,2100,-1.9403683423995972,1.78179132938385,73600,0.01
5896000,0.0,0.02262476459145546,2100,-2.053133361041546,1.781162977218628,73700,0.01
5904000,0.0,0.07047687470912933,2100,-2.091289734840393,1.7754061222076416,73800,0.01
5912000,0.0,0.043400995433330536,2100,-2.096795216202736,1.7776470184326172,73900,0.01
5920000,-0.01149892807006836,0.0022563759703189135,2100,-2.040895462036133,1.7723338603973389,74000,0.01
5928000,0.0,0.04946688562631607,2100,-2.0305056482553483,1.773350477218628,74100,0.01
5936000,0.0,0.017301145941019058,2100,-1.8888975635170937,1.7761951684951782,74200,0.01
5944000,1.7881393432617188e-07,0.0018737756181508303,2101,-1.8189887285232544,1.7767579555511475,74300,0.01
5952000,5.960464477539063e-08,0.007218671031296253,2101,-1.9915666565299035,1.7682956457138062,74400,0.01
5960000,0.0,0.0023571867495775223,2101,-2.0401800870895386,1.7560592889785767,74500,0.01
5968000,0.0,0.00224883621558547,2101,-1.9927396297454834,1.772165060043335,74600,0.01
5976000,0.0,0.06985596567392349,2100,-2.3047937750816345,1.778122901916504,74700,0.01
5984000,-1.1920928955078125e-07,0.06865666061639786,2100,-2.3765587210655212,1.7834274768829346,74800,0.01
5992000,-1.1920928955078125e-07,0.023060712963342667,2100,-2.09000401198864,1.7872064113616943,74900,0.01
6000000,-0.0011762380599975586,0.05322085693478584,2100,-2.1591451056301594,1.7777124643325806,75000,0.01
6008000,0.0,0.0027791697066277266,2100,-2.2152812480926514,1.7780115604400635,75100,0.01
6016000,0.0,0.028023432940244675,2100,-2.2319132328033446,1.7812706232070923,75200,0.01
6024000,0.0,0.028021663427352905,2100,-2.1145336598157884,1.778428316116333,75300,0.01
6032000,5.960464477539063e-08,0.05405913665890694,2100,-2.125969572365284,1.774477243423462,75400,0.01
6040000,0.0,0.038625381886959076,2100,-1.88991359770298,1.7750062942504883,75500,0.01
6048000,0.0,0.0016226072330027819,2100,-1.6926920652389525,1.7743085622787476,75600,0.01
6056000,0.0,0.012319083325564861,2100,-1.9735487252473831,1.7703969478607178,75700,0.01
6064000,1.1920928955078125e-07,0.05507724732160568,2100,-2.005944940447807,1.7837145328521729,75800,0.01
6072000,0.0,0.002350468188524246,2100,-2.037270498275757,1.774637222290039,75900,0.01
6080000,0.0,0.0021760619711130857,2100,-1.9602297067642211,1.7785718441009521,76000,0.01
6088000,0.0,0.012372810393571854,2100,-2.0222947373986244,1.7857542037963867,76100,0.01
6096000,0.0,0.043751128017902374,2100,-2.1493178367614747,1.778280258178711,76200,0.01
6104000,0.0,0.017768505960702896,2100,-2.1920728147029878,1.7784290313720703,76300,0.01
6112000,0.0,0.05225137621164322,2100,-2.2966806411743166,1.7712087631225586,76400,0.01
6120000,-1.1920928955078125e-07,0.022359825670719147,2100,-1.9923690631985664,1.7782005071640015,76500,0.01
6128000,-1.1920928955078125e-07,0.05951493978500366,2100,-2.01712197214365,1.7745851278305054,76600,0.01
6136000,-1.1920928955078125e-07,0.028036033734679222,2100,-1.9942848160862923,1.7721834182739258,76700,0.01
6144000,0.0,0.017566155642271042,2100,-1.936672706902027,1.7775704860687256,76800,0.01
6152000,-1.1920928955078125e-07,0.0490076020359993,2100,-2.0047570750117303,1.779923677444458,76900,0.01
6160000,0.0,0.028064653277397156,2100,-1.880691573023796,1.7822669744491577,77000,0.01
6168000,1.7881393432617188e-07,0.04409591108560562,2100,-1.9770406171679498,1.7725846767425537,77100,0.01
6176000,-1.1920928955078125e-07,0.02806825004518032,2100,-1.8695338442921638,1.775742769241333,77200,0.01
6184000,0.0,0.03900276497006416,2100,-1.7481977194547653,1.7756836414337158,77300,0.01
6192000,1.1920928955078125e-07,0.05417833477258682,2100,-1.9695493817329406,1.7752201557159424,77400,0.01
6200000,0.0,0.04986512288451195,2100,-1.9683626897633075,1.7790409326553345,77500,0.01
6208000,-1.1920928955078125e-07,0.01774602010846138,2100,-2.1677193105220796,1.7756294012069702,77600,0.01
6216000,1.1920928955078125e-07,0.03319012373685837,2100,-2.010782764852047,1.7825441360473633,77700,0.01
