avg reward,nupdates,total_timesteps,fps,value_loss,policy_entropy,explained_variance
56.21921148300171,12200,976000,1612,9.821395874023438,0.0,-3.9507102966308594
-79.92771320343017,12300,984000,1613,46.423622131347656,0.0,-17.862693786621094
-2.7618750361260025,12400,992000,1612,1.5590840578079224,0.0,-0.654653787612915
19.22106592655182,12500,1000000,1611,5.861904144287109,0.0,-0.6758307218551636
-77.17114739641548,12600,1008000,1609,177.0076904296875,0.0,0.1648249626159668
15.717351710796356,12700,1016000,1609,0.33206528425216675,0.0,0.889971412718296
-34.65661611557007,12800,1024000,1608,0.629031240940094,0.0,0.8260814994573593
-18.795115399360657,12900,1032000,1608,2.685141086578369,0.0,0.14546334743499756
22.482525372505187,13000,1040000,1608,44.37232208251953,0.0,-0.6313197612762451
-29.13433108329773,13100,1048000,1608,19.260175704956055,0.0,-0.5930302143096924
3.2841858327388764,13200,1056000,1607,0.14098814129829407,0.0,0.7652610689401627
36.73321118354797,13300,1064000,1607,23.70415496826172,0.0,-25.033571243286133
0.9649672569707036,13400,1072000,1607,0.07866717875003815,0.0,0.7964552938938141
43.83183999061585,13500,1080000,1608,125.701416015625,0.0,-0.4996873140335083
6.256854212284088,13600,1088000,1608,0.5665808916091919,0.0,0.14975744485855103
55.32810845375061,13700,1096000,1607,59.22753143310547,0.0,-1.831068754196167
-31.51347689628601,13800,1104000,1607,154.34860229492188,0.0,-0.617071270942688
51.73368549346924,13900,1112000,1608,58.4605712890625,0.0,0.29001230001449585
55.479089164733885,14000,1120000,1607,79.00489807128906,0.0,-0.8532453775405884
38.68687314987183,14100,1128000,1606,38.16053009033203,0.0,-0.8342534303665161
-0.5074780846014619,14200,1136000,1606,0.2642994523048401,0.0,0.6290982365608215
-111.6089750289917,14300,1144000,1605,148.8791961669922,0.0,-28.908973693847656
33.38214420974255,14400,1152000,1605,91.33735656738281,0.0,0.30290859937667847
25.741721057891844,14500,1160000,1605,22.581674575805664,0.0,-1.2258868217468262
-43.59373147487641,14600,1168000,1605,126.06644439697266,0.0,-0.7044732570648193
-40.244383573532104,14700,1176000,1606,29.183786392211914,0.0,-1.4348535537719727
-168.72584056854248,14800,1184000,1606,314.93499755859375,0.0,-41.38912582397461
119.36915588378906,14900,1192000,1606,345.765869140625,0.0,-0.8191792964935303
-3.5259028248488904,15000,1200000,1607,1.2591789960861206,0.0,0.5290289521217346
95.48928809165955,15100,1208000,1606,573.941650390625,0.0,-0.28764891624450684
127.49987630844116,15200,1216000,1606,794.109375,0.0,-0.3186793327331543
-24.70141205787659,15300,1224000,1606,17.412458419799805,0.0,-0.6525211334228516
-62.98160636425018,15400,1232000,1605,173.36898803710938,0.0,-0.3708087205886841
108.43108959197998,15500,1240000,1605,123.10772705078125,0.0,-10.198810577392578
-5.653785821795464,15600,1248000,1604,0.45440348982810974,0.0,0.7806347757577896
46.19398493766785,15700,1256000,1604,1.8643321990966797,0.0,0.7949368357658386
43.77548995018005,15800,1264000,1604,196.02627563476562,0.0,-0.10319089889526367
122.14762125015258,15900,1272000,1603,43.33750534057617,0.0,-2.188462018966675
