total_timesteps,fps,policy_entropy,explained_variance,nupdates,value_loss,avgReward
4248000,854,1.0703023672103882,0.8267665058374405,53100,0.016814973205327988,1.39819800183177
4256000,854,0.986472487449646,0.48268020153045654,53200,0.034826718270778656,1.6710618317127228
4264000,854,1.041447401046753,0.537238210439682,53300,0.051041580736637115,1.330889606103301
4272000,854,1.069753646850586,0.6667508780956268,53400,0.02068682387471199,1.35461091324687
4280000,854,1.1110422611236572,0.4713212251663208,53500,0.03732446953654289,1.4158822156488895
4288000,854,1.157880425453186,0.8428568989038467,53600,0.014808699488639832,1.5206304222345353
4296000,854,1.0536502599716187,0.8570503294467926,53700,0.016119491308927536,0.5916223885025829
4304000,854,1.0952484607696533,0.6394034326076508,53800,0.045011430978775024,1.3828998029232025
4312000,854,0.9965651631355286,0.6939393877983093,53900,0.039174698293209076,1.6577774621546268
4320000,854,1.0252310037612915,0.7411620318889618,54000,0.032764654606580734,1.4962332570925354
4328000,855,1.0485122203826904,0.8270856589078903,54100,0.032716456800699234,1.174615185894072
4336000,855,1.1229063272476196,0.77198226749897,54200,0.015316804870963097,1.6597818821668624
4344000,855,1.121504783630371,0.8701025992631912,54300,0.010903789661824703,1.7912176892161369
4352000,855,1.0912764072418213,0.7006308734416962,54400,0.03673333674669266,1.4478878319263457
4360000,855,1.0432676076889038,0.8084152638912201,54500,0.010266604833304882,1.3592343412339687
4368000,855,1.0960644483566284,0.6626346707344055,54600,0.029810523614287376,1.345881450548768
4376000,855,1.0970414876937866,0.8029133379459381,54700,0.02219407819211483,1.2555322445929051
4384000,855,1.0424145460128784,0.6659040451049805,54800,0.039375219494104385,1.5442869700491428
4392000,855,1.1330349445343018,0.7070402503013611,54900,0.051684457808732986,1.3678440351039172
4400000,855,1.0591373443603516,0.6497580409049988,55000,0.032471928745508194,1.6621876008808614
4408000,856,1.073974370956421,0.5808177292346954,55100,0.040085021406412125,1.187097816169262
4416000,856,1.0953134298324585,0.8771603181958199,55200,0.012766430154442787,1.2299398347735404
4424000,856,1.0524591207504272,0.7543540894985199,55300,0.03179554268717766,1.1456796864047647
4432000,856,1.046126127243042,0.8440647274255753,55400,0.01341999787837267,1.2412052497267723
4440000,856,1.1021581888198853,0.7544058561325073,55500,0.022267278283834457,1.5763962619006633
4448000,856,1.0755865573883057,0.5343105494976044,55600,0.04431096464395523,1.3394861344248057
4456000,856,1.152159333229065,0.8699289560317993,55700,0.02667168900370598,1.5266076296567916
4464000,856,1.015004277229309,0.6127214431762695,55800,0.025170356035232544,1.3838854882866145
4472000,856,1.0755770206451416,0.8108376562595367,55900,0.0155143141746521,1.3072732647880911
4480000,857,1.0413695573806763,0.6685586273670197,56000,0.025735462084412575,1.5433711931109428
4488000,857,1.1749942302703857,0.8435932248830795,56100,0.010718004778027534,1.4859464943408967
4496000,857,1.1175931692123413,0.7718868553638458,56200,0.02430271916091442,1.4567909866571427
4504000,857,1.1175544261932373,0.817049190402031,56300,0.013396983966231346,1.5718420967459679
4512000,857,1.0100669860839844,0.6047800183296204,56400,0.062510646879673,1.2469342408701778
4520000,857,1.1490962505340576,0.8624808192253113,56500,0.016468385234475136,1.2351049952208997
4528000,857,1.1316215991973877,0.6424463093280792,56600,0.02148919738829136,1.6226616278290749
4536000,857,1.0994027853012085,0.65338134765625,56700,0.05848612263798714,1.2485988670960069
4544000,857,1.0283949375152588,0.7958476394414902,56800,0.034731216728687286,1.7325111357495189
4552000,857,1.0935754776000977,0.7793143391609192,56900,0.03662615269422531,1.4653527751564979
4560000,857,1.081384301185608,0.6644026041030884,57000,0.016689835116267204,1.5816291019320488
4568000,858,1.0674707889556885,0.7925814092159271,57100,0.02029213309288025,1.5726407408714294
4576000,858,1.0789858102798462,0.6072719097137451,57200,0.031930990517139435,1.6266596004366876
4584000,858,1.0202338695526123,0.7289244830608368,57300,0.03378591686487198,1.3728788104839622
4592000,858,1.0743262767791748,0.6830733120441437,57400,0.04261928051710129,2.0282281249761582
4600000,858,1.1331979036331177,0.6803498566150665,57500,0.019836124032735825,1.6661983221769332
4608000,858,1.1311336755752563,0.7651554495096207,57600,0.028628742322325706,1.4437267169356347
4616000,858,1.0725961923599243,0.746959000825882,57700,0.041657425463199615,1.5510878764092921
4624000,858,1.031909704208374,0.7063233256340027,57800,0.02808360382914543,1.4505254566669463
4632000,858,1.0408108234405518,0.9043378978967667,57900,0.010957257822155952,1.2810284361243247
4640000,858,0.9416534304618835,0.2574436664581299,58000,0.0319194421172142,1.2236359767615794
4648000,859,1.0214287042617798,0.6818900406360626,58100,0.009573029354214668,1.9536583691835403
4656000,859,0.9891103506088257,0.6492525637149811,58200,0.035936806350946426,1.6331229254603385
4664000,859,1.0926647186279297,0.7493803203105927,58300,0.04377264529466629,1.7617786943912506
4672000,859,0.9897316098213196,0.866390272974968,58400,0.009262697771191597,1.5782495446503162
4680000,859,1.117421269416809,0.8296506851911545,58500,0.009866775944828987,1.7402998343110085
4688000,859,1.0414972305297852,0.6598317921161652,58600,0.0427616611123085,1.6730620961636304
4696000,859,1.0212749242782593,0.885205589234829,58700,0.011285660788416862,1.5103373602032661
4704000,859,1.0977383852005005,0.8734855651855469,58800,0.009659985080361366,1.7281134203076363
4712000,859,1.1028563976287842,0.831862673163414,58900,0.020169267430901527,1.725391374900937
4720000,859,1.0938167572021484,0.7704814672470093,59000,0.035203516483306885,1.9620588734745978
4728000,860,1.1487770080566406,0.8801480457186699,59100,0.013205328956246376,1.6146985098719597
4736000,860,1.0833686590194702,0.7342069745063782,59200,0.018002871423959732,1.874056014418602
4744000,860,1.0882898569107056,0.7028431594371796,59300,0.01893722079694271,1.9215859845280647
4752000,860,1.135486364364624,0.6016102433204651,59400,0.058230407536029816,1.3503591427579522
4760000,860,1.072191596031189,0.7015018165111542,59500,0.05465330928564072,1.2593153266236186
4768000,860,1.074242353439331,0.6045830845832825,59600,0.06026816368103027,1.4946855828166008
4776000,860,1.0880804061889648,0.8205495774745941,59700,0.02371540479362011,1.4367803929373621
